source_industry,commodity,destination_industry,share,delta,rule_id,va_mix
113000,2332D0,2332D0,1.0,515000000.0,default,
115000,2332D0,2332D0,1.0,322000000.0,default,
211000,213111,213111,0.9946292088411485,4815000000.0,default,
211000,21311A,21311A,1.0,8085000000.0,default,
211000,233240,233240,1.0,835000000.0,default,
211000,424700,424700,1.0,1362000000.0,default,
211000,541511,541511,1.0,115000000.0,default,
211000,541700,541700,1.0,946000000.0,default,
212100,21311A,21311A,0.9955665898208902,5614000000.0,default,
212100,233240,233240,1.0,3387000000.0,default,
212100,423A00,423A00,1.0,81000000.0,default,
212100,541511,541511,1.0,1000000.0,default,
212100,541700,541700,1.0,8000000.0,default,
212230,233240,233240,1.0,698000000.0,default,
212230,541700,541700,1.0,24000000.0,default,
2122A0,21311A,21311A,1.0,352000000.0,default,
2122A0,233240,233240,1.0,1116000000.0,default,
2122A0,423A00,423A00,1.0,4000000.0,default,
2122A0,541700,541700,1.0,44000000.0,default,
212310,233240,233240,1.0,2158000000.0,default,
212310,423A00,423A00,1.0,101000000.0,C1,dest
212310,541700,541700,1.0,12000000.0,default,
2123A0,21311A,21311A,0.2,1000000.0,default,
2123A0,233240,233240,1.0,2335000000.0,default,
2123A0,423A00,423A00,1.0,236000000.0,C1,dest
2123A0,541700,541700,1.0,16000000.0,default,
213111,211000,211000,1.0,14000000.0,default,
213111,21311A,21311A,0.7742178665661515,2054000000.0,default,
213111,233240,233240,1.0,1439000000.0,default,
213111,424700,424700,1.0,84000000.0,default,
213111,541511,541511,1.0,7000000.0,default,
213111,541700,541700,1.0,75000000.0,default,
21311A,211000,211000,1.0,240000000.0,default,
21311A,233240,233240,1.0,4755000000.0,default,
21311A,423A00,423A00,1.0,4000000.0,default,
21311A,424700,424700,1.0,285000000.0,default,
21311A,541511,541511,1.0,30000000.0,default,
21311A,541700,541700,1.0,269000000.0,default,
221100,221200,221200,0.02987520484053952,237000000.0,default,
221100,221300,221300,1.0,1024000000.0,default,
221100,233240,233240,1.0,2077000000.0,C3,
221100,423800,423800,1.0,1415000000.0,default,
221100,444000,444000,1.0,824000000.0,default,
221100,4B0000,4B0000,1.0,2000000.0,default,
221100,486000,486000,1.0,965000000.0,default,
221100,541511,541511,1.0,357000000.0,default,
221100,541700,541700,1.0,107000000.0,default,
221200,233240,233240,1.0,544000000.0,default,
221200,4B0000,4B0000,1.0,3000000.0,default,
221200,486000,486000,1.0,1584000000.0,default,
221200,541511,541511,1.0,135000000.0,default,
221200,541700,541700,1.0,28000000.0,default,
221300,221100,221100,1.0,323000000.0,default,
221300,221200,221200,1.0,318000000.0,default,
221300,2332D0,2332D0,1.0,1000000.0,default,
221300,233240,233240,1.0,14000000.0,default,
221300,444000,444000,1.0,5000000.0,default,
221300,541511,541511,1.0,1000000.0,default,
221300,541700,541700,1.0,3000000.0,default,
221300,562000,562000,1.0,5000000.0,default,
230301,541511,541511,1.0,386000000.0,default,
230301,541700,541700,1.0,15000000.0,default,
321100,233230,233230,1.0,46000000.0,default,
321100,423A00,423A00,1.0,424000000.0,default,
321100,541700,541700,1.0,39000000.0,default,
321200,233230,233230,1.0,101000000.0,default,
321200,423A00,423A00,1.0,217000000.0,default,
321200,541511,541511,1.0,1000000.0,default,
321200,541700,541700,1.0,19000000.0,default,
321910,233230,233230,1.0,234000000.0,default,
321910,423A00,423A00,1.0,344000000.0,default,
321910,541511,541511,1.0,7000000.0,default,
321910,541700,541700,1.0,20000000.0,default,
3219A0,233230,233230,1.0,221000000.0,default,
3219A0,423800,423800,1.0,118000000.0,default,
3219A0,423A00,423A00,1.0,50000000.0,default,
3219A0,541511,541511,1.0,9000000.0,default,
3219A0,541700,541700,1.0,22000000.0,default,
327100,233230,233230,1.0,51000000.0,default,
327100,423A00,423A00,1.0,82000000.0,default,
327100,541511,541511,1.0,4000000.0,default,
327100,541700,541700,1.0,69000000.0,default,
327200,233230,233230,1.0,164000000.0,default,
327200,423A00,423A00,1.0,29000000.0,default,
327200,541511,541511,1.0,8000000.0,default,
327200,541700,541700,1.0,155000000.0,default,
327310,233230,233230,1.0,41000000.0,default,
327310,423A00,423A00,1.0,66000000.0,default,
327310,541511,541511,1.0,1000000.0,default,
327310,541700,541700,1.0,36000000.0,default,
327320,233230,233230,1.0,145000000.0,default,
327320,423A00,423A00,1.0,273000000.0,default,
327320,541511,541511,1.0,9000000.0,default,
327320,541700,541700,1.0,181000000.0,default,
327330,233230,233230,1.0,40000000.0,default,
327330,423A00,423A00,1.0,247000000.0,default,
327330,541511,541511,1.0,3000000.0,default,
327330,541700,541700,1.0,50000000.0,default,
327390,233230,233230,1.0,61000000.0,default,
327390,423A00,423A00,1.0,82000000.0,default,
