measure,year,naics,value
services81_two_part,2017,811111,50120546.0
services81_two_part,2017,811112,613935.0
services81_two_part,2017,811113,2209201.0
services81_two_part,2017,811118,1943548.0
services81_two_part,2017,811121,38669502.0
services81_two_part,2017,811122,4311515.0
services81_two_part,2017,811191,5608786.0
services81_two_part,2017,811192,9723877.0
services81_two_part,2017,811198,2100439.0
services81_two_part,2017,811211,1416115.0
services81_two_part,2017,811212,4611564.0
services81_two_part,2017,811213,2908908.0
services81_two_part,2017,811219,8127443.0
services81_two_part,2017,811310,39257982.0
services81_two_part,2017,811411,562880.0
services81_two_part,2017,811412,3578730.0
services81_two_part,2017,811420,1105860.0
services81_two_part,2017,811430,199713.0
services81_two_part,2017,811490,3911543.0
services81_two_part,2017,812111,1048147.0
services81_two_part,2017,812112,22636143.0
services81_two_part,2017,812113,6239083.0
services81_two_part,2017,812191,1780294.0
services81_two_part,2017,812199,8071037.0
services81_two_part,2017,812210,14677403.0
services81_two_part,2017,812220,4182682.0
services81_two_part,2017,812310,4339907.0
services81_two_part,2017,812320,7972006.0
services81_two_part,2017,812331,4648741.0
services81_two_part,2017,812332,9087755.0
services81_two_part,2017,812910,5354319.0
services81_two_part,2017,812921,1537783.0
services81_two_part,2017,812922,28038.0
services81_two_part,2017,812930,9643553.0
services81_two_part,2017,812990,10143115.0
services81_two_part,2017,813211,66459121.0
services81_two_part,2017,813212,18510082.0
services81_two_part,2017,813219,13142523.0
services81_two_part,2017,813311,9296496.0
services81_two_part,2017,813312,10976387.0
services81_two_part,2017,813319,10601801.0
services81_two_part,2017,813410,14643576.0
services81_two_part,2017,813910,25787121.0
services81_two_part,2017,813920,20092834.0
services81_two_part,2017,813990,26713207.0
services81_two_part,2022,811111,71002726.0
services81_two_part,2022,811114,5911297.0
services81_two_part,2022,811121,45898127.0
services81_two_part,2022,811122,7514301.0
services81_two_part,2022,811191,9646760.0
services81_two_part,2022,811192,14807987.0
services81_two_part,2022,811198,3245757.0
services81_two_part,2022,811210,16664385.0
services81_two_part,2022,811310,54640745.0
services81_two_part,2022,811411,728564.0
services81_two_part,2022,811412,2864398.0
services81_two_part,2022,811420,1348832.0
services81_two_part,2022,811430,208714.0
services81_two_part,2022,811490,5760813.0
services81_two_part,2022,812111,1663159.0
services81_two_part,2022,812112,25664020.0
services81_two_part,2022,812113,11366371.0
services81_two_part,2022,812191,2385501.0
services81_two_part,2022,812199,13677122.0
services81_two_part,2022,812210,17826001.0
services81_two_part,2022,812220,5570060.0
services81_two_part,2022,812310,5497369.0
services81_two_part,2022,812320,7112666.0
services81_two_part,2022,812331,6560256.0
services81_two_part,2022,812332,12045924.0
services81_two_part,2022,812910,10109818.0
services81_two_part,2022,812921,723190.0
services81_two_part,2022,812922,17013.0
services81_two_part,2022,812930,10712803.0
services81_two_part,2022,812990,13124992.0
services81_two_part,2022,813211,100350232.0
services81_two_part,2022,813212,27689195.0
services81_two_part,2022,813219,18728040.0
services81_two_part,2022,813311,13015264.0
services81_two_part,2022,813312,14736785.0
services81_two_part,2022,813319,14986297.0
services81_two_part,2022,813410,15209858.0
services81_two_part,2022,813910,28372974.0
services81_two_part,2022,813920,21105273.0
services81_two_part,2022,813990,33245198.0
wholesale_margin,2017,4231,102519916.0
wholesale_margin,2017,4232,34410274.0
wholesale_margin,2017,4233,42271788.0
wholesale_margin,2017,4234,164327879.0
wholesale_margin,2017,4235,36391580.0
wholesale_margin,2017,4236,204445651.0
wholesale_margin,2017,4237,49017881.0
wholesale_margin,2017,4238,150062054.0
wholesale_margin,2017,4239,77681939.0
wholesale_margin,2017,4241,27573405.0
wholesale_margin,2017,4242,203635959.0
wholesale_margin,2017,4243,61557049.0
wholesale_margin,2017,4244,139576413.0
wholesale_margin,2017,4245,41400969.0
wholesale_margin,2017,4246,45733740.0
wholesale_margin,2017,4247,62480633.0
wholesale_margin,2017,4248,41331079.0
wholesale_margin,2017,4249,79249243.0
wholesale_margin,2022,4231,137732609.0
wholesale_margin,2022,4232,42339756.0
wholesale_margin,2022,4233,69306664.0
wholesale_margin,2022,4234,222716163.0
wholesale_margin,2022,4235,58028561.0
wholesale_margin,2022,4236,288151209.0
wholesale_margin,2022,4237,85456284.0
wholesale_margin,2022,4238,212369766.0
wholesale_margin,2022,4239,106909866.0
wholesale_margin,2022,4241,31004183.0
wholesale_margin,2022,4242,235098385.0
wholesale_margin,2022,4243,73195593.0
wholesale_margin,2022,4244,160349181.0
wholesale_margin,2022,4245,50475956.0
wholesale_margin,2022,4246,53335351.0
wholesale_margin,2022,4247,95403693.0
wholesale_margin,2022,4248,55469635.0
wholesale_margin,2022,4249,90960311.0
