category,commodity,share
TradeRelated,425000,1.000000
TransportAirFreight,481000,0.111093
TransportAirPass,481000,0.888907
TransportRoadAndOth,482000,1.000000
TransportSeaFreight,483000,1.000000
TransportRoadAndOth,484000,1.000000
TransportRoadAndOth,486000,1.000000
TravelBusinessOth,48A000,0.210384
TravelPersonalOth,48A000,0.789616
TransportPostal,491000,1.000000
TransportAirFreight,492000,1.000000
OthComp,493000,1.000000
DatabaseAndOthInfo,511110,1.000000
DatabaseAndOthInfo,511120,1.000000
DatabaseAndOthInfo,511130,1.000000
DatabaseAndOthInfo,5111A0,1.000000
CipLicensesCompSoftware,511200,1.000000
AudVisProduction,512100,0.032451
AudVisRightsToUseMoviesAndTv,512100,0.818034
CipLicensesBroadcastLiveRecord,512100,0.079806
CipLicensesMoviesTv,512100,0.069709
AudVisRightsToUseBooksAndSound,512200,0.725946
CipLicensesBooksSoundRecord,512200,0.274054
Telecom,517110,1.000000
Telecom,517210,1.000000
Telecom,517A00,1.000000
CloudCompAndDataStor,518200,1.000000
NewsAgency,519130,1.000000
DatabaseAndOthInfo,5191A0,1.000000
Financial,522A00,1.000000
Financial,523900,1.000000
Financial,523A00,1.000000
Insurance,5241XX,1.000000
Financial,52A000,1.000000
OthComp,531ORE,1.000000
OperatingLeasing,532100,1.000000
OperatingLeasing,532400,1.000000
OperatingLeasing,532A00,1.000000
CipLicensesFranchiseFees,533000,0.068931
CipLicensesOutcomesResearchAndDev,533000,0.683151
CipLicensesTrademarks,533000,0.247918
Legal,541100,1.000000
AccountAuditBookkeep,541200,1.000000
Architectural,541300,0.061986
Engineering,541300,0.917419
SciAndOthTech,541300,0.020595
OthComp,541400,1.000000
CompSoftware,541511,1.000000
CompSoftware,541512,1.000000
OthComp,54151A,1.000000
BusMgmtConsPubRel,541610,1.000000
BusMgmtConsPubRel,5416A0,1.000000
ResearchAndDev,541700,1.000000
Advertising,541800,1.000000
OthComp,541920,1.000000
MarResAndPubOpinPoll,5419A0,1.000000
OthComp,550000,1.000000
OthComp,561300,1.000000
OthComp,561400,1.000000
OthComp,561500,1.000000
OthComp,561600,1.000000
OthComp,561900,1.000000
WasteTreatAndDePol,562000,1.000000
Education,611A00,1.000000
Education,611B00,1.000000
TravelHealth,621100,1.000000
TravelHealth,621400,1.000000
TravelHealth,622000,1.000000
ArtisticRelated,711100,1.000000
ArtisticRelated,711200,1.000000
ArtisticRelated,711500,1.000000
ArtisticRelated,711A00,1.000000
OthPersonalCulturalAndRecreational,712000,1.000000
OthPersonalCulturalAndRecreational,713900,1.000000
TravelBusinessOth,722110,0.195573
TravelPersonalOth,722110,0.734028
TravelShortTermWork,722110,0.070399
TravelBusinessOth,722211,0.195573
TravelPersonalOth,722211,0.734028
TravelShortTermWork,722211,0.070399
TravelBusinessOth,722A00,0.195573
TravelPersonalOth,722A00,0.734028
TravelShortTermWork,722A00,0.070399
MaintenanceAndRepairNie,811100,1.000000
MaintenanceAndRepairNie,811200,1.000000
MaintenanceAndRepairNie,811300,1.000000
MaintenanceAndRepairNie,811400,1.000000
