category,commodity,share
TransportAirFreight,481000,0.219329
TransportAirPass,481000,0.780671
TransportPostal,491000,1.000000
TransportAirFreight,492000,1.000000
DatabaseAndOthInfo,511110,1.000000
DatabaseAndOthInfo,511120,1.000000
DatabaseAndOthInfo,511130,1.000000
DatabaseAndOthInfo,5111A0,1.000000
CipLicensesCompSoftware,511200,1.000000
AudVisProduction,512100,0.165796
AudVisRightsToUseMoviesAndTv,512100,0.725344
CipLicensesBroadcastLiveRecord,512100,0.094999
CipLicensesMoviesTv,512100,0.013861
AudVisRightsToUseBooksAndSound,512200,0.962215
CipLicensesBooksSoundRecord,512200,0.037785
Telecom,517110,1.000000
Telecom,517A00,1.000000
CloudCompAndDataStor,518200,1.000000
NewsAgency,519130,1.000000
DatabaseAndOthInfo,5191A0,1.000000
Insurance,5241XX,1.000000
FinFisim,52A000,1.000000
Legal,541100,1.000000
AccountAuditBookkeep,541200,1.000000
Architectural,541300,0.046363
Engineering,541300,0.915957
SciAndOthTech,541300,0.037680
OthComp,541400,1.000000
CompSoftware,541511,1.000000
CompSoftware,541512,1.000000
OthComp,54151A,1.000000
BusMgmtConsPubRel,541610,1.000000
ResearchAndDev,541700,1.000000
Advertising,541800,1.000000
OthComp,541920,1.000000
MarResAndPubOpinPoll,5419A0,1.000000
OthComp,561300,1.000000
OthComp,561400,1.000000
OthComp,561600,1.000000
WasteTreatAndDePol,562000,1.000000
Education,611A00,1.000000
Education,611B00,1.000000
TravelHealth,622000,1.000000
ArtisticRelated,711100,1.000000
ArtisticRelated,711200,1.000000
ArtisticRelated,711A00,1.000000
MaintenanceAndRepairNie,811400,1.000000
