direction,commodity,candidate_usd,reference_usd,status
exports,1111A0,21935565285.0,21287000000.0,2
exports,1111B0,18195237765.0,16940000000.0,2
exports,111200,3139391471.0,3649000000.0,2
exports,111300,12618291678.0,7907000000.0,2
exports,111400,532534103.0,995000000.0,2
exports,111900,9509575287.0,7368000000.0,2
exports,112120,125744959.31697877,70000000.0,2
exports,1121A0,288557391.68302125,192000000.0,2
exports,112300,599760025.0,778000000.0,2
exports,112A00,811025675.0,1522000000.0,2
exports,113000,2635816982.0,2551000000.0,2
exports,114000,5470599118.0,5391000000.0,2
exports,115000,12000000.0,86000000.0,2
exports,211000,45005036288.0,41909000000.0,2
exports,212100,9886500006.0,9597000000.0,2
exports,212230,4182080171.0,4060000000.0,2
exports,2122A0,1636325793.0,6797000000.0,2
exports,212310,143852314.0,140000000.0,2
exports,2123A0,2075088307.0,2030000000.0,2
exports,213111,771082574.4742228,0.0,4
exports,21311A,2419917425.5257773,3045000000.0,2
exports,221100,0.0,2744000000.0,3
exports,221200,0.0,559000000.0,3
exports,221300,0.0,705000000.0,3
exports,233210,0.0,0.0,0
exports,233262,0.0,0.0,0
exports,230301,0.0,81000000.0,3
exports,230302,0.0,18000000.0,3
exports,2332A0,0.0,0.0,0
exports,233412,0.0,0.0,0
exports,2334A0,0.0,0.0,0
exports,233230,0.0,0.0,0
exports,2332D0,0.0,0.0,0
exports,233240,0.0,0.0,0
exports,233411,0.0,0.0,0
exports,2332C0,0.0,0.0,0
exports,321100,4400320691.0,4467000000.0,2
exports,321200,1217052439.0,1274000000.0,2
exports,321910,230428176.0,347000000.0,2
exports,3219A0,1735779462.0,918000000.0,2
exports,327100,2023159356.0,1990000000.0,2
exports,327200,5321280630.0,5131000000.0,2
exports,327310,175321253.0,163000000.0,2
exports,327320,4052278.0,92000000.0,2
exports,327330,41968622.0,46000000.0,2
exports,327390,218339921.0,277000000.0,2
exports,327400,287960854.0,283000000.0,2
exports,327910,993364073.0,1214000000.0,2
exports,327991,75140198.0,96000000.0,2
exports,327992,336590044.0,352000000.0,2
exports,327993,965772184.0,970000000.0,1
exports,327999,605196210.0,618000000.0,2
