year,direction,hs_commodity,value_usd,qty_mwh,unit_qy1,unit_value_usd_per_mwh
2017,exports,2716000000,186602463.0,10032183.0,MWH,18.60038468197799
2017,imports,2716000000,2265848346.0,72303185.0,MWH,31.33815399695048
2018,exports,2716000000,392739779.0,13187981.0,MWH,29.780129270735223
2018,imports,2716000000,2252478614.0,61472761.0,MWH,36.64189760404612
2019,exports,2716000000,435540364.0,13055132.0,MWH,33.36162085530809
2019,imports,2716000000,1894622120.0,60348086.0,MWH,31.394899914472848
2020,exports,2716000000,181552069.0,7771200.0,MWH,23.362166589458514
2020,imports,2716000000,1919372628.0,67115777.0,MWH,28.597934998204668
2021,exports,2716000000,504890420.0,11610970.0,MWH,43.48391391933663
2021,imports,2716000000,2637102837.0,60308247.0,MWH,43.7270683228448
2022,exports,2716000000,732059196.0,13728187.0,MWH,53.325263998807706
2022,imports,2716000000,4427747066.0,65406188.0,MWH,67.69614926954618
2023,exports,2716000000,1186531353.0,16535061.0,MWH,71.75851077900468
2023,imports,2716000000,3158750511.0,49443342.0,MWH,63.88626624389589
2024,exports,2716000000,1083329855.0,26909933.0,MWH,40.25761992792773
2024,imports,2716000000,2289715638.0,35650647.0,MWH,64.2264820046604
