IndustryCode,CommodityCode,PercentUsed,Note
562111/US,562000/US,0.476,"Use column sum, industry output"
562HAZ/US,562000/US,0.121,"Use column sum, industry output"
562212/US,562000/US,0.0827,"Use column sum, industry output"
562213/US,562000/US,0.0151,"Use column sum, industry output"
562910/US,562000/US,0.166,"Use column sum, industry output"
562920/US,562000/US,0.0448,"Use column sum, industry output"
562OTH/US,562000/US,0.0943,"Use column sum, industry output"
562000/US,562111/US,0.463,"Use row sum, commodity output"
562000/US,562HAZ/US,0.103,"Use row sum, commodity output"
562000/US,562212/US,0.098,"Use row sum, commodity output"
562000/US,562213/US,0.015,"Use row sum, commodity output"
562000/US,562910/US,0.166,"Use row sum, commodity output"
562000/US,562920/US,0.0753,"Use row sum, commodity output"
562000/US,562OTH/US,0.0797,"Use row sum, commodity output"
562111/US,562111/US,0.00000616,Use table intersection
562111/US,562HAZ/US,0.0111,Use table intersection
562111/US,562212/US,0.000932,Use table intersection
562111/US,562213/US,0.00000616,Use table intersection
562111/US,562910/US,0,Use table intersection
562111/US,562920/US,0.00000589,Use table intersection
562111/US,562OTH/US,0.000269,Use table intersection
562HAZ/US,562111/US,0.0000324,Use table intersection
562HAZ/US,562HAZ/US,0.58,Use table intersection
562HAZ/US,562212/US,0.0717,Use table intersection
562HAZ/US,562213/US,0.0000324,Use table intersection
562HAZ/US,562910/US,0,Use table intersection
562HAZ/US,562920/US,0.000663,Use table intersection
562HAZ/US,562OTH/US,0.0141,Use table intersection
562212/US,562111/US,0.00000622,Use table intersection
562212/US,562HAZ/US,0.143,Use table intersection
562212/US,562212/US,0.000598,Use table intersection
562212/US,562213/US,0.00000622,Use table intersection
562212/US,562910/US,0,Use table intersection
562212/US,562920/US,0.0000297,Use table intersection
562212/US,562OTH/US,0.00554,Use table intersection
562213/US,562111/US,0,Use table intersection
562213/US,562HAZ/US,0.00184,Use table intersection
562213/US,562212/US,0,Use table intersection
562213/US,562213/US,0,Use table intersection
562213/US,562910/US,0,Use table intersection
562213/US,562920/US,0,Use table intersection
562213/US,562OTH/US,0,Use table intersection
562910/US,562111/US,0.0000111,Use table intersection
562910/US,562HAZ/US,0.0554,Use table intersection
562910/US,562212/US,0.00104,Use table intersection
562910/US,562213/US,0.0000111,Use table intersection
562910/US,562910/US,0.00128,Use table intersection
562910/US,562920/US,0,Use table intersection
562910/US,562OTH/US,0.000212,Use table intersection
562920/US,562111/US,0,Use table intersection
562920/US,562HAZ/US,0.00406,Use table intersection
562920/US,562212/US,1.87E-08,Use table intersection
562920/US,562213/US,0,Use table intersection
562920/US,562910/US,0,Use table intersection
562920/US,562920/US,0.0000422,Use table intersection
562920/US,562OTH/US,0.00000246,Use table intersection
562OTH/US,562111/US,0.000049,Use table intersection
