sctg,air_multiplier,water_multiplier,air_basis,water_basis
Alcoholic beverages,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Animal feed,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Articles-base metal,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Base metals,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Basic chemicals,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Building stone,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Cereal grains,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Chemical prods.,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Coal,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Crude petroleum,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Electronics,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Fertilizers,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Fuel oils,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Furniture,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Gasoline,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Gravel,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Live animals/fish,3,2,"BEA: ""Air is simple, everything except animal is a 1 (animals is 3).""","BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Logs,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Machinery,1,3,BEA: everything other than animals is 1.,"BEA: ""we see motorized vehicles and transport as the most difficult"", and the first reply put heavy machinery at 3."
Meat/seafood,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Metallic ores,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Milled grain prods.,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Misc. mfg. prods.,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Mixed freight,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Motorized vehicles,1,3,BEA: everything other than animals is 1.,"BEA: ""we see motorized vehicles and transport as the most difficult"", and the first reply put heavy machinery at 3."
Natural gas and other fossil products,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Natural sands,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Newsprint/paper,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Nonmetal min. prods.,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Nonmetallic minerals,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Other ag prods.,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Other foodstuffs,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Paper articles,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Pharmaceuticals,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Plastics/rubber,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Precision instruments,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Printed prods.,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Textiles/leather,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Tobacco prods.,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
Transport equip.,1,3,BEA: everything other than animals is 1.,"BEA: ""we see motorized vehicles and transport as the most difficult"", and the first reply put heavy machinery at 3."
Waste/scrap,1,1,BEA: everything other than animals is 1.,"Bulk cargo that sits free in the hold. BEA named grain and oil as the examples of cargo that ""stay unadjusted""."
Wood prods.,1,2,BEA: everything other than animals is 1.,"BEA: ""if it would be palletized or put in a container, it would receive a 2""."
