sas_group,bea_2017_commodity,bea_2017_description,basis
Agricultural products,1111A0,Oilseed farming,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,111200,Vegetable and melon farming,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,111300,Fruit and tree nut farming,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,111400,"Greenhouse, nursery, and floriculture production",Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,111900,Other crop farming,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,112120,Dairy cattle and milk production,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,1121A0,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming",Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,112300,Poultry and egg production,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,112A00,"Animal production, except cattle and poultry and eggs",Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,114000,"Fishing, hunting and trapping",Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,311111,Dog and cat food manufacturing,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,311119,Other animal food manufacturing,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,311221,Wet corn milling,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,311224,Soybean and other oilseed processing,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,311225,Fats and oils refining and blending,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,311230,Breakfast cereal manufacturing,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,311300,Sugar and confectionery product manufacturing,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,311410,Frozen food manufacturing,Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
Agricultural products,311420,"Fruit and vegetable canning, pickling, and drying",Farm output plus processed food (311). See the module docstring: reading the ten groups as raw commodities only would leave food manufacturing with no truck margin at all.
