stcc5,stcc_description,bea_2017_commodity,bea_2017_description,basis
01131,Barley,1111B0,Grain farming,
01132,Corn,1111B0,Grain farming,
01133,Oats,1111B0,Grain farming,
01134,"Rice, Rough",1111B0,Grain farming,
01135,Rye,1111B0,Grain farming,
01136,Sorghum Grains,1111B0,Grain farming,
01137,Wheat,1111B0,Grain farming,
01139,"Grain, Nec",1111B0,Grain farming,
01141,Cottonseeds,1111A0,Oilseed farming,
01142,Flaxseeds,1111A0,Oilseed farming,
01143,Peanuts,1111A0,Oilseed farming,
01144,Soybeans (Soya Beans),1111A0,Oilseed farming,
01149,"Oil Kernels, Nuts or Seeds",1111A0,Oilseed farming,
01159,"Field Seeds, Nec",111900,Other crop farming,
01191,"Fodder, Ray or Roughage",111900,Other crop farming,
01195,"Potatoes, Other Than Sweet",111200,Vegetable and melon farming,
01219,"Citrus Fruits, Nec",111300,Fruit and tree nut farming,
01221,Apples,111300,Fruit and tree nut farming,
01295,"Coffee, Green",111900,Other crop farming,
01341,"Beans, Dry Ripe",111900,Other crop farming,
01342,"Peas, Dry",111900,Other crop farming,
01343,"Cowpeas, Lentils or Lupines",111900,Other crop farming,
01399,"Fresh Vegetables, Nec",111200,Vegetable and melon farming,
01912,Nursery Stock,111900,Other crop farming,
01919,"Horticultural Specialties, Nec",111900,Other crop farming,
10513,Calcinpd or Activated Bauxite Ores,2122A0,"Iron, gold, silver, and other metal ore mining",
10929,"Miscellaneous Metal Ores, Nec",2122A0,"Iron, gold, silver, and other metal ore mining",
11212,Prepared Bituminous Coal,212100,Coal mining,
13111,Crude Petroleum,211000,Oil and gas extraction,Crude oil and natural gas are one BEA detail commodity.
14219,"Broken or Crushed Stone or Riprap, Nec",212310,Stone mining and quarrying,
14412,Gravel (Aggregate or Ballast),2123A0,Other nonmetallic mineral mining and quarrying,
14413,"Industrial Sand, Crude, Ground or Pulverized",2123A0,Other nonmetallic mineral mining and quarrying,
14511,"Bentonite, Crude",2123A0,Other nonmetallic mineral mining and quarrying,
14519,"Ceramic or Clay Minerals, Crude",2123A0,Other nonmetallic mineral mining and quarrying,
14711,"Barite, Crude",2123A0,Other nonmetallic mineral mining and quarrying,
14715,"Rock Salt, Crude, Crushed, Lump or Screened",2123A0,Other nonmetallic mineral mining and quarrying,
14716,"Sulphur, Crude, Liquid, Ground or Treated",2123A0,Other nonmetallic mineral mining and quarrying,
