ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Note
BEA_NIPA,Personal consumption expenditures,NAICS_2017_Code,,,
BEA_NIPA,Goods,NAICS_2017_Code,,,
BEA_NIPA,Durable goods,NAICS_2017_Code,,,
BEA_NIPA,Motor vehicles and parts,NAICS_2017_Code,,,
BEA_NIPA,New motor vehicles,NAICS_2017_Code,,,
BEA_NIPA,New autos,NAICS_2017_Code,336111,,Automobile manufacturing
BEA_NIPA,New domestic autos,NAICS_2017_Code,,,
BEA_NIPA,New foreign autos,NAICS_2017_Code,,,
BEA_NIPA,New light trucks,NAICS_2017_Code,336112,,Light truck and utility vehicle manufacturing
BEA_NIPA,New domestic light trucks,NAICS_2017_Code,,,
BEA_NIPA,New foreign light trucks,NAICS_2017_Code,,,
BEA_NIPA,Net purchases of used motor vehicles,NAICS_2017_Code,,,
BEA_NIPA,Used autos,NAICS_2017_Code,,,
BEA_NIPA,Net transactions in used autos,NAICS_2017_Code,,,
BEA_NIPA,Used auto margin,NAICS_2017_Code,,,
BEA_NIPA,Employee reimbursement,NAICS_2017_Code,,,
BEA_NIPA,Used light trucks,NAICS_2017_Code,,,
BEA_NIPA,Net transactions in used trucks,NAICS_2017_Code,,,
BEA_NIPA,Used truck margin,NAICS_2017_Code,,,
BEA_NIPA,Motor vehicle parts and accessories,NAICS_2017_Code,,,
BEA_NIPA,Tires,NAICS_2017_Code,32621,,Tire manufacturing
BEA_NIPA,Accessories and parts,NAICS_2017_Code,,,
BEA_NIPA,Furnishings and durable household equipment,NAICS_2017_Code,,,
BEA_NIPA,Furniture and furnishings (parts of 31 and 32),NAICS_2017_Code,,,
BEA_NIPA,Furniture,NAICS_2017_Code,,,
BEA_NIPA,"Clocks, lamps, lighting fixtures, and other household decorative items",NAICS_2017_Code,,,
BEA_NIPA,Carpets and other floor coverings,NAICS_2017_Code,,,
BEA_NIPA,Window coverings,NAICS_2017_Code,,,
BEA_NIPA,Household appliances (part of 33),NAICS_2017_Code,,,
BEA_NIPA,Major household appliances,NAICS_2017_Code,,,
BEA_NIPA,Small electric household appliances,NAICS_2017_Code,,,
BEA_NIPA,"Glassware, tableware, and household utensils (34)",NAICS_2017_Code,,,
BEA_NIPA,Dishes and flatware,NAICS_2017_Code,,,
BEA_NIPA,Nonelectric cookware and tableware,NAICS_2017_Code,,,
BEA_NIPA,Tools and equipment for house and garden (35),NAICS_2017_Code,,,
BEA_NIPA,"Tools, hardware, and supplies",NAICS_2017_Code,,,
BEA_NIPA,Outdoor equipment and supplies,NAICS_2017_Code,,,
BEA_NIPA,Recreational goods and vehicles,NAICS_2017_Code,,,
BEA_NIPA,"Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",NAICS_2017_Code,,,
