ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Notes,Table
EPA_GHGI_Cornerstone_mobile_combustion,Agricultural Equipment Non-Road,NAICS_2017_Code,111,,"111, 112, 113, 114","EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Agricultural Equipment Non-Road,NAICS_2017_Code,112,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Agricultural Equipment Non-Road,NAICS_2017_Code,113,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Agricultural Equipment Non-Road,NAICS_2017_Code,114,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Alternative Fuel On-Road,NAICS_2017_Code,485,,"485000, 486000, 48A000, 492000","EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Alternative Fuel On-Road,NAICS_2017_Code,487,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Alternative Fuel On-Road,NAICS_2017_Code,488,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Alternative Fuel On-Road,NAICS_2017_Code,492,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Construction/Mining Equipment Non-Road,NAICS_2017_Code,211,,"211000, 212100, 2122A0, 212230, 212310, 2123AO, 213111","EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Construction/Mining Equipment Non-Road,NAICS_2017_Code,212,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Construction/Mining Equipment Non-Road,NAICS_2017_Code,213111,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Construction/Mining Equipment Non-Road,NAICS_2017_Code,213112,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Medium- and Heavy-Duty Buses,NAICS_2017_Code,485,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Medium- and Heavy-Duty Trucks and Buses,NAICS_2017_Code,484,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Other Non-Road,NAICS_2017_Code,485,,"485000, 48A000, 492000, 532100, 532400, 621900, 713900, 811100, 811300","EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Other Non-Road,NAICS_2017_Code,487,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Other Non-Road,NAICS_2017_Code,488,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Other Non-Road,NAICS_2017_Code,492,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Other Non-Road,NAICS_2017_Code,5321,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Other Non-Road,NAICS_2017_Code,5324,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Other Non-Road,NAICS_2017_Code,6219,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Other Non-Road,NAICS_2017_Code,7139,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Other Non-Road,NAICS_2017_Code,8111,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
EPA_GHGI_Cornerstone_mobile_combustion,Other Non-Road,NAICS_2017_Code,8113,,,"EPA_GHGI_T_3_14, EPA_GHGI_T_3_15"
