ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Notes,Table
UMD_GHGIA,Iron and Steel Production & Metallurgical Coke Production,NAICS_2017_Code,3311,,331110,EPA_GHGI_T_2_1
UMD_GHGIA,Cement Production,NAICS_2017_Code,32731,,327310,EPA_GHGI_T_2_1
UMD_GHGIA,Lime Production,NAICS_2017_Code,3274,,327400,EPA_GHGI_T_2_1
UMD_GHGIA,Ammonia Production,NAICS_2017_Code,32531,,325310,EPA_GHGI_T_2_1
UMD_GHGIA,Incineration of Waste,NAICS_2017_Code,562213,,562000,EPA_GHGI_T_2_1
UMD_GHGIA,Aluminum Production,NAICS_2017_Code,331313,,331313,"EPA_GHGI_T_2_1, UMD_GHGIA_T_4_50"
UMD_GHGIA,Soda Ash Production,NAICS_2017_Code,32519,,325190,EPA_GHGI_T_2_1
UMD_GHGIA,Ferroalloy Production,NAICS_2017_Code,3311,,331110,EPA_GHGI_T_2_1
UMD_GHGIA,Titanium Dioxide Production,NAICS_2017_Code,32519,,325190,EPA_GHGI_T_2_1
UMD_GHGIA,Zinc Production,NAICS_2017_Code,33142,,331420,EPA_GHGI_T_2_1
UMD_GHGIA,Phosphoric Acid Production,NAICS_2017_Code,32531,,325310,EPA_GHGI_T_2_1
UMD_GHGIA,Glass Production,NAICS_2017_Code,3272,,327200,EPA_GHGI_T_2_1
UMD_GHGIA,Carbide Production and Consumption,NAICS_2017_Code,32518,,325180,EPA_GHGI_T_2_1
UMD_GHGIA,Landfills,NAICS_2017_Code,562212,,562000,EPA_GHGI_T_2_1
UMD_GHGIA,Urea Consumption for Non-Agricultural Purposes,NAICS_2017_Code,31,,"31, 32, 33",EPA_GHGI_T_2_1
UMD_GHGIA,Urea Consumption for Non-Agricultural Purposes,NAICS_2017_Code,32,,,EPA_GHGI_T_2_1
UMD_GHGIA,Urea Consumption for Non-Agricultural Purposes,NAICS_2017_Code,33,,,EPA_GHGI_T_2_1
UMD_GHGIA,Other Process Uses of Carbonates,NAICS_2017_Code,31,,"31, 32, 33",EPA_GHGI_T_2_1
UMD_GHGIA,Other Process Uses of Carbonates,NAICS_2017_Code,32,,,EPA_GHGI_T_2_1
UMD_GHGIA,Other Process Uses of Carbonates,NAICS_2017_Code,33,,,EPA_GHGI_T_2_1
UMD_GHGIA,Lead Production,NAICS_2017_Code,33149,,331490,EPA_GHGI_T_2_1
UMD_GHGIA,Coal Mining,NAICS_2017_Code,2121,,212100,EPA_GHGI_T_2_1
UMD_GHGIA,Wastewater Treatment,NAICS_2017_Code,2213,,221300,EPA_GHGI_T_2_1
UMD_GHGIA,Abandoned Oil and Gas Wells,NAICS_2017_Code,211,,211000,EPA_GHGI_T_2_1
UMD_GHGIA,Abandoned Underground Coal Mines,NAICS_2017_Code,2121,,212100,EPA_GHGI_T_2_1
UMD_GHGIA,Composting,NAICS_2017_Code,562219,,562000,EPA_GHGI_T_2_1
UMD_GHGIA,Nitric Acid Production,NAICS_2017_Code,32531,,325310,EPA_GHGI_T_2_1
