ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Note
BEA_NIPA,Accessories and parts,BEA_2017_Code,325610,,Soap and cleaning compound manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,326220,,Rubber and plastics hoses and belting manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,326290,,Other rubber product manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,327200,,Glass and glass product manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,331200,,Steel product manufacturing from purchased steel
BEA_NIPA,Accessories and parts,BEA_2017_Code,332500,,Hardware manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,332600,,Spring and wire product manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,333318,,Other commercial and service industry machinery manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,334220,,Broadcast and wireless communications equipment
BEA_NIPA,Accessories and parts,BEA_2017_Code,335110,,Electric lamp bulb and part manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,335911,,Storage battery manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,336310,,Motor vehicle gasoline engine and engine parts manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,336320,,Motor vehicle electrical and electronic equipment manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,336350,,Motor vehicle transmission and power train parts manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,336360,,Motor vehicle seating and interior trim manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,336390,,Other Motor Vehicle Parts Manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,3363A0,,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing"
BEA_NIPA,Accessories and parts,BEA_2017_Code,339990,,All other miscellaneous manufacturing
BEA_NIPA,Accessories and parts,BEA_2017_Code,S00401,,Scrap
BEA_NIPA,Accessories and parts,BEA_2017_Code,S00402,,Used and secondhand goods
BEA_NIPA,Air transportation,BEA_2017_Code,481000,,Air transportation
BEA_NIPA,Alcohol in purchased meals,BEA_2017_Code,481000,,Air transportation
BEA_NIPA,Alcohol in purchased meals,BEA_2017_Code,482000,,Rail transportation
BEA_NIPA,Alcohol in purchased meals,BEA_2017_Code,711100,,Performing arts companies
BEA_NIPA,Alcohol in purchased meals,BEA_2017_Code,711200,,Spectator sports
BEA_NIPA,Alcohol in purchased meals,BEA_2017_Code,711A00,,Promoters of performing arts and sports and agents for public figures
BEA_NIPA,Alcohol in purchased meals,BEA_2017_Code,722110,,Full-service restaurants
BEA_NIPA,Alcohol in purchased meals,BEA_2017_Code,722211,,Limited-service restaurants
BEA_NIPA,Alcohol in purchased meals,BEA_2017_Code,722A00,,All other food and drinking places
BEA_NIPA,All other professional medical services,BEA_2017_Code,532A00,,General and consumer goods rental
BEA_NIPA,All other professional medical services,BEA_2017_Code,621400,,Outpatient care centers
BEA_NIPA,All other professional medical services,BEA_2017_Code,621900,,Other ambulatory health care services
BEA_NIPA,"Amusement parks, campgrounds, and related recreational services",BEA_2017_Code,114000,,"Fishing, hunting and trapping"
BEA_NIPA,"Amusement parks, campgrounds, and related recreational services",BEA_2017_Code,532400,,Commercial and industrial machinery and equipment rental and leasing
BEA_NIPA,"Amusement parks, campgrounds, and related recreational services",BEA_2017_Code,532A00,,General and consumer goods rental
BEA_NIPA,"Amusement parks, campgrounds, and related recreational services",BEA_2017_Code,611100,,Elementary and secondary schools
BEA_NIPA,"Amusement parks, campgrounds, and related recreational services",BEA_2017_Code,611B00,,Other educational services
BEA_NIPA,"Amusement parks, campgrounds, and related recreational services",BEA_2017_Code,711A00,,Promoters of performing arts and sports and agents for public figures
BEA_NIPA,"Amusement parks, campgrounds, and related recreational services",BEA_2017_Code,712000,,"Museums, historical sites, zoos, and parks"
BEA_NIPA,"Amusement parks, campgrounds, and related recreational services",BEA_2017_Code,713100,,Amusement parks and arcades
BEA_NIPA,"Amusement parks, campgrounds, and related recreational services",BEA_2017_Code,713900,,Other amusement and recreation industries
BEA_NIPA,"Amusement parks, campgrounds, and related recreational services",BEA_2017_Code,721000,,Accommodation
BEA_NIPA,"Audio discs, tapes, vinyl, and permanent digital downloads",BEA_2017_Code,334610,,Manufacturing and reproducing magnetic and optical media
BEA_NIPA,"Audio discs, tapes, vinyl, and permanent digital downloads",BEA_2017_Code,512200,,Sound recording industries
BEA_NIPA,Audio equipment,BEA_2017_Code,334220,,Broadcast and wireless communications equipment
BEA_NIPA,Audio equipment,BEA_2017_Code,334290,,Other communications equipment manufacturing
