ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Note
Census_EC_PxI,aircraft and aeronautical equipment,BEA_2017_Code,336411,,seed; via NAICS 336411
Census_EC_PxI,"aircraft equipment and supplies, including engines and engine parts",BEA_2017_Code,336412,,seed; via NAICS 336412
Census_EC_PxI,alcoholic beverages,BEA_2017_Code,312120,,corrected; via NAICS 312120
Census_EC_PxI,alcoholic beverages,BEA_2017_Code,312130,,corrected; via NAICS 312130
Census_EC_PxI,alcoholic beverages,BEA_2017_Code,312140,,corrected; via NAICS 312140
Census_EC_PxI,alloy steel,BEA_2017_Code,331200,,seed; via NAICS 331221
Census_EC_PxI,"antiques, collectibles, art works, and other used goods (except transportation and machinery goods)",BEA_2017_Code,S00402,,direct-BEA; no NAICS counterpart
Census_EC_PxI,art supplies,BEA_2017_Code,339940,,seed; via NAICS 339940
Census_EC_PxI,"artificial flowers, plants, and trees",BEA_2017_Code,339990,,corrected; via NAICS 339999
Census_EC_PxI,athletic uniforms,BEA_2017_Code,315000,,seed; via NAICS 31528
Census_EC_PxI,audio and video recordings,BEA_2017_Code,334610,,seed; via NAICS 334614
Census_EC_PxI,"audio and video recordings, including purchased downloads",BEA_2017_Code,512200,,corrected; via NAICS 512250
Census_EC_PxI,automobiles and light-duty trucks,BEA_2017_Code,336111,,seed; via NAICS 336111
Census_EC_PxI,"automotive chemicals, including polishes and cleaners, fuel and oil additives, and antifreeze",BEA_2017_Code,3259A0,,seed; via NAICS 325998
Census_EC_PxI,automotive fuels,BEA_2017_Code,324110,,seed; via NAICS 324110
Census_EC_PxI,automotive parts and supplies,BEA_2017_Code,336390,,seed; via NAICS 336390
Census_EC_PxI,baked goods,BEA_2017_Code,311810,,seed; via NAICS 311812
Census_EC_PxI,baking ingredients,BEA_2017_Code,311210,,seed; via NAICS 31121
Census_EC_PxI,baking ingredients,BEA_2017_Code,311221,,seed; via NAICS 31122
Census_EC_PxI,baking ingredients,BEA_2017_Code,311224,,seed; via NAICS 31122
Census_EC_PxI,baking ingredients,BEA_2017_Code,311225,,seed; via NAICS 31122
Census_EC_PxI,"balloons, clothes hangers, foam mats, lawn ornaments, and jewelry boxes",BEA_2017_Code,326190,,seed; via NAICS 326199
Census_EC_PxI,"bath, facial, and hand soaps",BEA_2017_Code,325610,,seed; via NAICS 325611
Census_EC_PxI,"batteries, except automotive",BEA_2017_Code,335999,,seed; via NAICS 335999
Census_EC_PxI,beer and ale,BEA_2017_Code,312120,,seed; via NAICS 31212
Census_EC_PxI,"bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories",BEA_2017_Code,336991,,seed; via NAICS 336991
Census_EC_PxI,"blank cds, dvds, and other recordable media",BEA_2017_Code,334610,,seed; via NAICS 334614
Census_EC_PxI,boats and go-carts,BEA_2017_Code,336612,,seed; via NAICS 336612
Census_EC_PxI,boats and other sports vehicles,BEA_2017_Code,336612,,seed; via NAICS 336612
Census_EC_PxI,"bolts, nuts, rivets, and other fasteners, except nails",BEA_2017_Code,332720,,seed; via NAICS 332722
Census_EC_PxI,books,BEA_2017_Code,323110,,seed; via NAICS 323117
Census_EC_PxI,brewers' products,BEA_2017_Code,312120,,seed; via NAICS 312120
Census_EC_PxI,building and construction polystyrene and polyurethane foam products,BEA_2017_Code,326140,,seed; via NAICS 326140
Census_EC_PxI,"candy, prepackaged cookies, and snack foods",BEA_2017_Code,311300,,seed; via NAICS 311340
Census_EC_PxI,canvas awnings,BEA_2017_Code,314900,,corrected; via NAICS 314910
Census_EC_PxI,caskets and other funeral goods,BEA_2017_Code,339990,,seed; via NAICS 339995
Census_EC_PxI,"caskets, monuments, grave markers, and other funeral goods",BEA_2017_Code,339990,,seed; via NAICS 339995
Census_EC_PxI,"chemicals, except explosives and automotive, drillers, and sanitation chemicals",BEA_2017_Code,325190,,seed; via NAICS 325199
Census_EC_PxI,"children's wear, including boys', girls', and infants' and toddlers' clothing and accessories",BEA_2017_Code,315000,,seed; via NAICS 315240
Census_EC_PxI,cleaning chemicals,BEA_2017_Code,325610,,seed; via NAICS 325612
Census_EC_PxI,"clocks, trophies, and works of art",BEA_2017_Code,339990,,corrected; via NAICS 339999
Census_EC_PxI,clothing accessories,BEA_2017_Code,315000,,seed; via NAICS 3159
Census_EC_PxI,coal,BEA_2017_Code,212100,,seed; via NAICS 212112
Census_EC_PxI,"coffee, tea, and powdered drink mixes",BEA_2017_Code,311920,,seed; via NAICS 31192
Census_EC_PxI,commercial and service industry equipment,BEA_2017_Code,333318,,seed; via NAICS 333318
Census_EC_PxI,commercial furniture,BEA_2017_Code,33721A,,seed; via NAICS 337214
Census_EC_PxI,commercial photography and motion picture equipment,BEA_2017_Code,333316,,seed; via NAICS 333316
Census_EC_PxI,communications equipment,BEA_2017_Code,334220,,seed; via NAICS 334220
Census_EC_PxI,computer software,BEA_2017_Code,511200,,seed; via NAICS 511210
Census_EC_PxI,"computers and peripheral equipment, communications equipment, and related products",BEA_2017_Code,334111,,seed; via NAICS 334111
Census_EC_PxI,"computers and peripheral equipment, except computer components",BEA_2017_Code,334118,,seed; via NAICS 334118
Census_EC_PxI,"concrete, cement, sand, gravel, stone, brick, block, and tile",BEA_2017_Code,327310,,seed; via NAICS 327310
Census_EC_PxI,condensing units for commercial refrigerators,BEA_2017_Code,333415,,seed; via NAICS 333415
Census_EC_PxI,confectionery and snack foods,BEA_2017_Code,311300,,seed; via NAICS 3113
Census_EC_PxI,"construction, forestry, and mining machinery and equipment, including attachments",BEA_2017_Code,333120,,seed; via NAICS 333120
Census_EC_PxI,"construction, forestry, and mining machinery parts and supplies",BEA_2017_Code,333120,,seed; via NAICS 333120
Census_EC_PxI,"cookies, bread, and baked goods",BEA_2017_Code,311810,,seed; via NAICS 31181
Census_EC_PxI,copper plumbing pipes and tubing,BEA_2017_Code,331420,,seed; via NAICS 331420
Census_EC_PxI,cosmetics and fragrances,BEA_2017_Code,325620,,seed; via NAICS 325620
Census_EC_PxI,"cosmetics, beauty supplies, perfumes and colognes, including hair preparations and hair brushes",BEA_2017_Code,325620,,corrected; via NAICS 325620
Census_EC_PxI,costume and novelty jewelry,BEA_2017_Code,339910,,seed; via NAICS 339910
Census_EC_PxI,costume jewelry,BEA_2017_Code,339910,,seed; via NAICS 33991
Census_EC_PxI,"costumes, vestments, and unisex clothing",BEA_2017_Code,315000,,seed; via NAICS 315280
Census_EC_PxI,crude oil,BEA_2017_Code,211000,,seed; via NAICS 211120
Census_EC_PxI,"cutlery, except disposable plastics",BEA_2017_Code,332200,,corrected; via NAICS 332215
Census_EC_PxI,"dairy products, except dried, canned, condensed, and evaporated dairy products",BEA_2017_Code,112120,,seed; via NAICS 11212
Census_EC_PxI,"dairy products, except dried, canned, condensed, and evaporated dairy products",BEA_2017_Code,311513,,seed; via NAICS 311513
Census_EC_PxI,"dairy products, except dried, canned, condensed, and evaporated dairy products",BEA_2017_Code,31151A,,seed; via NAICS 311511
Census_EC_PxI,disposable paper and plastic products,BEA_2017_Code,326110,,seed; via NAICS 326113
Census_EC_PxI,domestics and other textile home furnishings (except carpet and rugs),BEA_2017_Code,314120,,seed; via NAICS 314120
Census_EC_PxI,eggs and dairy (except ice cream),BEA_2017_Code,112300,,corrected; via NAICS 1123
Census_EC_PxI,eggs and dairy (except ice cream),BEA_2017_Code,31151A,,corrected; via NAICS 311511
Census_EC_PxI,"eggs and poultry, except canned and frozen poultry products",BEA_2017_Code,112300,,seed; via NAICS 1123
Census_EC_PxI,"eggs and poultry, except canned and frozen poultry products",BEA_2017_Code,311615,,seed; via NAICS 311615
Census_EC_PxI,electric light bulbs,BEA_2017_Code,335110,,seed; via NAICS 335110
Census_EC_PxI,"electrical, communication, and lighting system products",BEA_2017_Code,335120,,seed; via NAICS 335121
Census_EC_PxI,"electricity generation, control, and storage equipment",BEA_2017_Code,335999,,seed; via NAICS 335999
Census_EC_PxI,"fabrics, yarns, and other sewing materials and supplies",BEA_2017_Code,313200,,seed; via NAICS 313210
Census_EC_PxI,farm and agricultural supplies,BEA_2017_Code,325310,,seed; via NAICS 325314
Census_EC_PxI,farm machinery and equipment,BEA_2017_Code,333111,,seed; via NAICS 333111
Census_EC_PxI,farm machinery parts and supplies,BEA_2017_Code,333111,,seed; via NAICS 333111
Census_EC_PxI,"farm supplies, including agricultural chemicals, feed, and fertilizers",BEA_2017_Code,325310,,seed; via NAICS 325312
Census_EC_PxI,fine jewelry and watches,BEA_2017_Code,339910,,seed; via NAICS 339910
Census_EC_PxI,fire extinguishers and fire safety equipment,BEA_2017_Code,332999,,corrected; via NAICS 332999
Census_EC_PxI,"fish and seafood, except canned and frozen fish and seafood",BEA_2017_Code,112A00,,corrected; via NAICS 1125
Census_EC_PxI,"fish and seafood, except canned and frozen fish and seafood",BEA_2017_Code,114000,,corrected; via NAICS 1141
Census_EC_PxI,flat iron and steel products,BEA_2017_Code,331200,,seed; via NAICS 331221
Census_EC_PxI,flooring and floor coverings,BEA_2017_Code,321910,,corrected; via NAICS 321918
Census_EC_PxI,"food and beverage basic materials, including flavoring extracts, fruit peel, sausage casings, hop extract, malt, and yeast",BEA_2017_Code,311930,,seed; via NAICS 31193
Census_EC_PxI,food dry goods and other foods purchased for future consumption,BEA_2017_Code,311420,,seed; via NAICS 311423
Census_EC_PxI,footwear and footwear accessories,BEA_2017_Code,316000,,seed; via NAICS 3162
Census_EC_PxI,fresh fish and seafood,BEA_2017_Code,112A00,,corrected; via NAICS 1125
Census_EC_PxI,fresh fish and seafood,BEA_2017_Code,114000,,corrected; via NAICS 1141
Census_EC_PxI,"fresh flowers, florists' supplies, live trees, plants, and nursery stock",BEA_2017_Code,111400,,corrected; via NAICS 1114
Census_EC_PxI,fresh fruit and vegetables,BEA_2017_Code,111200,,corrected; via NAICS 1112
Census_EC_PxI,fresh fruit and vegetables,BEA_2017_Code,111300,,corrected; via NAICS 1113
Census_EC_PxI,fresh fruits and vegetables,BEA_2017_Code,111200,,seed; via NAICS 1112
Census_EC_PxI,fresh fruits and vegetables,BEA_2017_Code,111300,,seed; via NAICS 1113
Census_EC_PxI,"fresh meat and meat products, except canned and frozen",BEA_2017_Code,112120,,seed; via NAICS 1121
Census_EC_PxI,"fresh meat and meat products, except canned and frozen",BEA_2017_Code,1121A0,,seed; via NAICS 1121
Census_EC_PxI,"fresh meat and meat products, except canned and frozen",BEA_2017_Code,112A00,,seed; via NAICS 1122
Census_EC_PxI,"fresh meat and meat products, except canned and frozen",BEA_2017_Code,31161A,,seed; via NAICS 311611
Census_EC_PxI,fresh meat and poultry,BEA_2017_Code,31161A,,seed; via NAICS 311611
Census_EC_PxI,frozen foods,BEA_2017_Code,311410,,seed; via NAICS 311412
Census_EC_PxI,gift wrap,BEA_2017_Code,322230,,seed; via NAICS 322230
Census_EC_PxI,glasses and contact lenses,BEA_2017_Code,339115,,seed; via NAICS 339115
Census_EC_PxI,golf equipment,BEA_2017_Code,339920,,seed; via NAICS 339920
Census_EC_PxI,"grains, beans, and seeds",BEA_2017_Code,1111A0,,corrected; via NAICS 1111
Census_EC_PxI,"grains, beans, and seeds",BEA_2017_Code,1111B0,,corrected; via NAICS 1111
Census_EC_PxI,grocery specialties,BEA_2017_Code,311990,,seed; via NAICS 311991
Census_EC_PxI,"hand tools, power driven",BEA_2017_Code,333991,,seed; via NAICS 333991
Census_EC_PxI,"hardware, nonpower hand tools, and other building materials and supplies",BEA_2017_Code,332500,,seed; via NAICS 332510
Census_EC_PxI,harness and saddlery equipment,BEA_2017_Code,316000,,corrected; via NAICS 3169
Census_EC_PxI,health aids and first aid supplies,BEA_2017_Code,339113,,seed; via NAICS 339113
Census_EC_PxI,heating and hvac equipment,BEA_2017_Code,333415,,seed; via NAICS 333415
Census_EC_PxI,"heavy trucks, trailers, and road tractors, more than 33,000 lb",BEA_2017_Code,336120,,seed; via NAICS 336120
Census_EC_PxI,"hides, skins, and pelts",BEA_2017_Code,31161A,,corrected; via NAICS 311611
Census_EC_PxI,"hides, skins, and pelts",BEA_2017_Code,316000,,corrected; via NAICS 316110
Census_EC_PxI,home health care equipment and supplies,BEA_2017_Code,339113,,seed; via NAICS 339113
Census_EC_PxI,"home lawn and garden equipment, tools, and supplies",BEA_2017_Code,333112,,corrected; via NAICS 333112
Census_EC_PxI,"home lawn and garden equipment, tools, and supplies, except fresh flowers, florists' supplies, live trees, plants, and nursery stock",BEA_2017_Code,333112,,corrected; via NAICS 333112
Census_EC_PxI,home lawn and garden goods,BEA_2017_Code,333112,,corrected; via NAICS 333112
Census_EC_PxI,household and lawn furniture,BEA_2017_Code,337110,,seed; via NAICS 3371
Census_EC_PxI,household and lawn furniture,BEA_2017_Code,337121,,seed; via NAICS 3371
Census_EC_PxI,household and lawn furniture,BEA_2017_Code,337122,,seed; via NAICS 3371
Census_EC_PxI,household and lawn furniture,BEA_2017_Code,337127,,seed; via NAICS 3371
Census_EC_PxI,household and lawn furniture,BEA_2017_Code,33712N,,seed; via NAICS 3371
Census_EC_PxI,"household appliances, including personal care appliances",BEA_2017_Code,335210,,corrected; via NAICS 335210
Census_EC_PxI,"household appliances, including personal care appliances",BEA_2017_Code,335220,,corrected; via NAICS 335220
Census_EC_PxI,household cleaning supplies,BEA_2017_Code,325610,,seed; via NAICS 325611
Census_EC_PxI,"household fuels, including oil, lp gas, wood, coal",BEA_2017_Code,324190,,seed; via NAICS 324199
Census_EC_PxI,"household furnishings, except artificial flowers, plants, and trees",BEA_2017_Code,314120,,corrected; via NAICS 314120
Census_EC_PxI,"household pets, pet foods, and pet supplies",BEA_2017_Code,112A00,,corrected; via NAICS 112990
Census_EC_PxI,"household pets, pet foods, and pet supplies",BEA_2017_Code,311111,,corrected; via NAICS 311111
Census_EC_PxI,"hunting, fishing, hiking, and camping equipment",BEA_2017_Code,339920,,seed; via NAICS 339920
Census_EC_PxI,"hydraulic and pneumatic components, accessories, and parts",BEA_2017_Code,33291A,,seed; via NAICS 332912
Census_EC_PxI,hydraulic and pneumatic cylinders and rotary actuators,BEA_2017_Code,33399B,,seed; via NAICS 333995
Census_EC_PxI,"hydraulic and pneumatic pumps, motors, and parts",BEA_2017_Code,33399B,,seed; via NAICS 333996
Census_EC_PxI,hydraulic and pneumatic valves,BEA_2017_Code,33291A,,seed; via NAICS 332912
Census_EC_PxI,ice,BEA_2017_Code,312110,,seed; via NAICS 312113
Census_EC_PxI,indoor home furniture,BEA_2017_Code,337121,,seed; via NAICS 337121
Census_EC_PxI,industrial containers and supplies,BEA_2017_Code,332430,,seed; via NAICS 332439
Census_EC_PxI,industrial engines,BEA_2017_Code,333618,,seed; via NAICS 333618
Census_EC_PxI,"industrial valves and fittings, except hydraulic valves and fittings",BEA_2017_Code,33291A,,seed; via NAICS 332911
Census_EC_PxI,industrial water treatment equipment,BEA_2017_Code,333318,,seed; via NAICS 333318
Census_EC_PxI,"industrial, commercial, and service industry machinery parts and supplies",BEA_2017_Code,33329A,,seed; via NAICS 333249
Census_EC_PxI,"inedible animal or vegetable greases and oil, including linseed and cottonseed oil",BEA_2017_Code,311225,,seed; via NAICS 311225
Census_EC_PxI,"infants' and children's clothing, to size 6x, including accessories",BEA_2017_Code,315000,,seed; via NAICS 31524
Census_EC_PxI,"ink and printing trades supplies, except paper",BEA_2017_Code,325910,,seed; via NAICS 325910
Census_EC_PxI,"iron and steel bars and bar-size shapes, except reinforcement bars",BEA_2017_Code,331200,,seed; via NAICS 331221
Census_EC_PxI,iron and steel pipes and tubing,BEA_2017_Code,331200,,seed; via NAICS 331210
Census_EC_PxI,janitorial supplies and nonpower janitorial equipment,BEA_2017_Code,339990,,seed; via NAICS 339994
Census_EC_PxI,"jewelry, except costume",BEA_2017_Code,339910,,seed; via NAICS 33991
Census_EC_PxI,knit and woven piece goods,BEA_2017_Code,313200,,seed; via NAICS 313210
Census_EC_PxI,"laminates, plastic raw materials, and crude rubber",BEA_2017_Code,325211,,seed; via NAICS 325211
Census_EC_PxI,liquefied petroleum (lp),BEA_2017_Code,324110,,corrected; via NAICS 324110
Census_EC_PxI,livestock,BEA_2017_Code,112120,,corrected; via NAICS 1121
Census_EC_PxI,livestock,BEA_2017_Code,1121A0,,corrected; via NAICS 1121
Census_EC_PxI,livestock,BEA_2017_Code,112A00,,corrected; via NAICS 1122
Census_EC_PxI,lubricating oil and greases,BEA_2017_Code,324190,,seed; via NAICS 324191
Census_EC_PxI,"luggage, including backpacks",BEA_2017_Code,316000,,seed; via NAICS 316992
Census_EC_PxI,"magazines and newspapers, including issue format comic books",BEA_2017_Code,511110,,seed; via NAICS 511110
Census_EC_PxI,major household appliances and related parts and accessories,BEA_2017_Code,335220,,seed; via NAICS 335220
Census_EC_PxI,manufactured (mobile) homes,BEA_2017_Code,3219A0,,seed; via NAICS 321991
Census_EC_PxI,marine machinery and equipment,BEA_2017_Code,333618,,seed; via NAICS 333618
Census_EC_PxI,marine propulsion machinery and equipment and marine supplies,BEA_2017_Code,333618,,seed; via NAICS 333618
Census_EC_PxI,"materials and supplies for electronic and electrical equipment, appliances, and component manufacturing",BEA_2017_Code,335999,,seed; via NAICS 335999
