ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Note
Census_SAS,4861,BEA_2017_Code,211000,,Oil and gas extraction
Census_SAS,4862,BEA_2017_Code,211000,,Oil and gas extraction
Census_SAS,48691,BEA_2017_Code,324110,,Petroleum refineries
Census_SAS,48691,BEA_2017_Code,324190,,Other petroleum and coal products manufacturing
Census_SAS,48699,BEA_2017_Code,325130,,Synthetic dye and pigment manufacturing
Census_SAS,48699,BEA_2017_Code,325310,,Fertilizer manufacturing
Census_SAS,48699,BEA_2017_Code,325910,,Printing ink manufacturing
Census_SAS,Agricultural products,BEA_2017_Code,1111A0,,Oilseed farming
Census_SAS,Agricultural products,BEA_2017_Code,111200,,Vegetable and melon farming
Census_SAS,Agricultural products,BEA_2017_Code,111300,,Fruit and tree nut farming
Census_SAS,Agricultural products,BEA_2017_Code,111400,,"Greenhouse, nursery, and floriculture production"
Census_SAS,Agricultural products,BEA_2017_Code,111900,,Other crop farming
Census_SAS,Agricultural products,BEA_2017_Code,112120,,Dairy cattle and milk production
Census_SAS,Agricultural products,BEA_2017_Code,1121A0,,"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming"
Census_SAS,Agricultural products,BEA_2017_Code,112300,,Poultry and egg production
Census_SAS,Agricultural products,BEA_2017_Code,112A00,,"Animal production, except cattle and poultry and eggs"
Census_SAS,Agricultural products,BEA_2017_Code,114000,,"Fishing, hunting and trapping"
Census_SAS,Agricultural products,BEA_2017_Code,311111,,Dog and cat food manufacturing
Census_SAS,Agricultural products,BEA_2017_Code,311119,,Other animal food manufacturing
Census_SAS,Agricultural products,BEA_2017_Code,311221,,Wet corn milling
Census_SAS,Agricultural products,BEA_2017_Code,311224,,Soybean and other oilseed processing
Census_SAS,Agricultural products,BEA_2017_Code,311225,,Fats and oils refining and blending
Census_SAS,Agricultural products,BEA_2017_Code,311230,,Breakfast cereal manufacturing
Census_SAS,Agricultural products,BEA_2017_Code,311300,,Sugar and confectionery product manufacturing
Census_SAS,Agricultural products,BEA_2017_Code,311410,,Frozen food manufacturing
Census_SAS,Agricultural products,BEA_2017_Code,311420,,"Fruit and vegetable canning, pickling, and drying"
Census_SAS,Agricultural products,BEA_2017_Code,311513,,Cheese manufacturing
Census_SAS,Agricultural products,BEA_2017_Code,311514,,"Dry, condensed, and evaporated dairy product manufacturing"
Census_SAS,Agricultural products,BEA_2017_Code,31151A,,Fluid milk and butter manufacturing
Census_SAS,Agricultural products,BEA_2017_Code,311520,,Ice cream and frozen dessert manufacturing
Census_SAS,Agricultural products,BEA_2017_Code,311615,,Poultry processing
