ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Note
STB_CRSR,01129,BEA_2017_Code,1111B0,,"Raw Cotton, Nec"
STB_CRSR,01131,BEA_2017_Code,1111B0,,Barley
STB_CRSR,01132,BEA_2017_Code,1111B0,,Corn
STB_CRSR,01133,BEA_2017_Code,1111B0,,Oats
STB_CRSR,01134,BEA_2017_Code,1111B0,,"Rice, Rough"
STB_CRSR,01135,BEA_2017_Code,1111B0,,Rye
STB_CRSR,01136,BEA_2017_Code,1111B0,,Sorghum Grains
STB_CRSR,01137,BEA_2017_Code,1111B0,,Wheat
STB_CRSR,01139,BEA_2017_Code,1111B0,,"Grain, Nec"
STB_CRSR,01141,BEA_2017_Code,1111A0,,Cottonseeds
STB_CRSR,01142,BEA_2017_Code,1111A0,,Flaxseeds
STB_CRSR,01143,BEA_2017_Code,1111A0,,Peanuts
STB_CRSR,01144,BEA_2017_Code,1111A0,,Soybeans (Soya Beans)
STB_CRSR,01149,BEA_2017_Code,1111A0,,"Oil Kernels, Nuts or Seeds"
STB_CRSR,01151,BEA_2017_Code,111900,,Lawn Grass Seeds
STB_CRSR,01152,BEA_2017_Code,111900,,Popcorn
STB_CRSR,01159,BEA_2017_Code,111900,,"Field Seeds, Nec"
STB_CRSR,01191,BEA_2017_Code,111900,,"Fodder, Ray or Roughage"
STB_CRSR,01195,BEA_2017_Code,111200,,"Potatoes, Other Than Sweet"
STB_CRSR,01214,BEA_2017_Code,111300,,Oranges
STB_CRSR,01219,BEA_2017_Code,111300,,"Citrus Fruits, Nec"
STB_CRSR,01221,BEA_2017_Code,111300,,Apples
STB_CRSR,01224,BEA_2017_Code,111300,,Grapes
STB_CRSR,01295,BEA_2017_Code,111900,,"Coffee, Green"
STB_CRSR,01298,BEA_2017_Code,111900,,"Nuts, Edible, In The Shell, Nec"
STB_CRSR,01299,BEA_2017_Code,111900,,"Fresh Fruits or Tree Nuts, Nec"
STB_CRSR,01331,BEA_2017_Code,111900,,Broccoii
STB_CRSR,01334,BEA_2017_Code,111900,,Celery
STB_CRSR,01341,BEA_2017_Code,111900,,"Beans, Dry Ripe"
STB_CRSR,01342,BEA_2017_Code,111900,,"Peas, Dry"
