ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Notes,Table
UMD_GHGIA_Facilities,Iron and Steel Production & Metallurgical Coke Production,NAICS_2017_Code,3311,,331110,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Cement Production,NAICS_2017_Code,32731,,327310,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Lime Production,NAICS_2017_Code,3274,,327400,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Ammonia Production,NAICS_2017_Code,32531,,325310,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Incineration of Waste,NAICS_2017_Code,562213,,562000,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Aluminum Production,NAICS_2017_Code,331313,,331313,"EPA_GHGI_T_2_1, UMD_GHGIA_T_4_50"
UMD_GHGIA_Facilities,Soda Ash Production,NAICS_2017_Code,32519,,325190,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Ferroalloy Production,NAICS_2017_Code,3311,,331110,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Titanium Dioxide Production,NAICS_2017_Code,32519,,325190,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Zinc Production,NAICS_2017_Code,33142,,331420,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Phosphoric Acid Production,NAICS_2017_Code,32531,,325310,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Glass Production,NAICS_2017_Code,3272,,327200,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Carbide Production and Consumption,NAICS_2017_Code,32518,,325180,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Landfills,NAICS_2017_Code,562212,,562000,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Urea Consumption for Non-Agricultural Purposes,NAICS_2017_Code,31,,"31, 32, 33",EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Urea Consumption for Non-Agricultural Purposes,NAICS_2017_Code,32,,,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Urea Consumption for Non-Agricultural Purposes,NAICS_2017_Code,33,,,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Other Process Uses of Carbonates,NAICS_2017_Code,31,,"31, 32, 33",EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Other Process Uses of Carbonates,NAICS_2017_Code,32,,,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Other Process Uses of Carbonates,NAICS_2017_Code,33,,,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Lead Production,NAICS_2017_Code,33149,,331490,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Coal Mining,NAICS_2017_Code,2121,,212100,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Wastewater Treatment,NAICS_2017_Code,2213,,221300,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Abandoned Oil and Gas Wells,NAICS_2017_Code,211,,211000,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Abandoned Underground Coal Mines,NAICS_2017_Code,2121,,212100,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Composting,NAICS_2017_Code,562219,,562000,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Nitric Acid Production,NAICS_2017_Code,32531,,325310,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Adipic Acid Production,NAICS_2017_Code,32519,,325190,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,N2O from Product Uses,NAICS_2017_Code,621,,"621, 622, 623",EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,N2O from Product Uses,NAICS_2017_Code,622,,,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,N2O from Product Uses,NAICS_2017_Code,623,,,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",NAICS_2017_Code,32519,,325190,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Electronics Industry,NAICS_2017_Code,334413,,"334413, name change from Semiconductor Manufacture",EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Electrical Equipment,NAICS_2017_Code,221121,,,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Electric Power,NAICS_2017_Code,2211,,"Commodity: 221100 (or I: 221100, S00101, S00202)",EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Liming,NAICS_2017_Code,111,,all ag sectors - proportional via BEA 327400,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Urea Fertilization,NAICS_2017_Code,111,,"111, 112",EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Urea Fertilization,NAICS_2017_Code,112,,,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Manure Management,NAICS_2017_Code,112,,,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Field Burning of Agricultural Residues,NAICS_2017_Code,111,,,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Rice Cultivation,NAICS_2017_Code,11116,,1111B0,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Anaerobic Digestion at Biogas Facilities,NAICS_2017_Code,562219,,new in GHGI since 2018,EPA_GHGI_T_2_1
UMD_GHGIA_Facilities,Agricultural Equipment Non-Road,NAICS_2017_Code,111,,"111, 112, 113, 114","UMD_GHGIA_T_3_9, UMD_GHGIA_T_3_10"
UMD_GHGIA_Facilities,Agricultural Equipment Non-Road,NAICS_2017_Code,112,,,"UMD_GHGIA_T_3_9, UMD_GHGIA_T_3_10"
UMD_GHGIA_Facilities,Agricultural Equipment Non-Road,NAICS_2017_Code,113,,,"UMD_GHGIA_T_3_9, UMD_GHGIA_T_3_10"
UMD_GHGIA_Facilities,Agricultural Equipment Non-Road,NAICS_2017_Code,114,,,"UMD_GHGIA_T_3_9, UMD_GHGIA_T_3_10"
UMD_GHGIA_Facilities,Alternative Fuel On-Road,NAICS_2017_Code,485,,"485000, 486000, 48A000, 492000","UMD_GHGIA_T_3_9, UMD_GHGIA_T_3_10"
UMD_GHGIA_Facilities,Alternative Fuel On-Road,NAICS_2017_Code,487,,,"UMD_GHGIA_T_3_9, UMD_GHGIA_T_3_10"
UMD_GHGIA_Facilities,Alternative Fuel On-Road,NAICS_2017_Code,488,,,"UMD_GHGIA_T_3_9, UMD_GHGIA_T_3_10"
UMD_GHGIA_Facilities,Alternative Fuel On-Road,NAICS_2017_Code,492,,,"UMD_GHGIA_T_3_9, UMD_GHGIA_T_3_10"
UMD_GHGIA_Facilities,Construction/Mining Equipment Non-Road,NAICS_2017_Code,211,,"211000, 212100, 2122A0, 212230, 212310, 2123AO, 213111","UMD_GHGIA_T_3_9, UMD_GHGIA_T_3_10"
