ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Note
USDA_ERS_FIWS,Crops,BEA_2017_Code,1111A0,,111 via NAICS 111
USDA_ERS_FIWS,Crops,BEA_2017_Code,1111B0,,111 via NAICS 111
USDA_ERS_FIWS,Crops,BEA_2017_Code,111200,,111 via NAICS 111
USDA_ERS_FIWS,Crops,BEA_2017_Code,111300,,111 via NAICS 111
USDA_ERS_FIWS,Crops,BEA_2017_Code,111400,,111 via NAICS 111
USDA_ERS_FIWS,Crops,BEA_2017_Code,111900,,111 via NAICS 111
USDA_ERS_FIWS,Soybeans,BEA_2017_Code,1111A0,,11111 via NAICS 11111
USDA_ERS_FIWS,Flaxseed,BEA_2017_Code,1111A0,,111120B via NAICS 111120
USDA_ERS_FIWS,"Oil crops, Miscellaneous",BEA_2017_Code,1111A0,,111120B via NAICS 111120
USDA_ERS_FIWS,Safflower,BEA_2017_Code,1111A0,,111120E via NAICS 111120
USDA_ERS_FIWS,Sunflower,BEA_2017_Code,1111A0,,111120G via NAICS 111120
USDA_ERS_FIWS,Lentils (Beans),BEA_2017_Code,1111B0,,111130E via NAICS 111130
USDA_ERS_FIWS,Dry beans,BEA_2017_Code,1111B0,,111130I via NAICS 111130
USDA_ERS_FIWS,Dry peas,BEA_2017_Code,1111B0,,111130J via NAICS 111130
USDA_ERS_FIWS,Wheat,BEA_2017_Code,1111B0,,11114 via NAICS 11114
USDA_ERS_FIWS,Corn,BEA_2017_Code,1111B0,,11115 via NAICS 11115
USDA_ERS_FIWS,Rice,BEA_2017_Code,1111B0,,11116 via NAICS 11116
USDA_ERS_FIWS,Barley,BEA_2017_Code,1111B0,,111199A via NAICS 111199
USDA_ERS_FIWS,Proso millet,BEA_2017_Code,1111B0,,111199C via NAICS 111199
USDA_ERS_FIWS,Oats,BEA_2017_Code,1111B0,,111199D via NAICS 111199
USDA_ERS_FIWS,Rye,BEA_2017_Code,1111B0,,111199E via NAICS 111199
USDA_ERS_FIWS,Sorghum grain,BEA_2017_Code,1111B0,,111199F via NAICS 111199
USDA_ERS_FIWS,Potatoes,BEA_2017_Code,111200,,111211A via NAICS 111211
USDA_ERS_FIWS,Sweet potatoes,BEA_2017_Code,111200,,111211B via NAICS 111211
USDA_ERS_FIWS,Artichokes,BEA_2017_Code,111200,,111219A via NAICS 111219
USDA_ERS_FIWS,Asparagus,BEA_2017_Code,111200,,111219B via NAICS 111219
USDA_ERS_FIWS,"Beans, green lima",BEA_2017_Code,111200,,111219C via NAICS 111219
USDA_ERS_FIWS,"Beans, snap",BEA_2017_Code,111200,,111219D via NAICS 111219
USDA_ERS_FIWS,Broccoli,BEA_2017_Code,111200,,111219E via NAICS 111219
USDA_ERS_FIWS,Cabbage,BEA_2017_Code,111200,,111219F via NAICS 111219
USDA_ERS_FIWS,Carrots,BEA_2017_Code,111200,,111219G via NAICS 111219
USDA_ERS_FIWS,Cauliflower,BEA_2017_Code,111200,,111219H via NAICS 111219
USDA_ERS_FIWS,Celery,BEA_2017_Code,111200,,111219I via NAICS 111219
USDA_ERS_FIWS,"Corn, Sweet corn, fresh",BEA_2017_Code,111200,,111219J via NAICS 111219
USDA_ERS_FIWS,Cucumbers,BEA_2017_Code,111200,,111219K via NAICS 111219
USDA_ERS_FIWS,Garlic,BEA_2017_Code,111200,,111219L via NAICS 111219
USDA_ERS_FIWS,Lettuce,BEA_2017_Code,111200,,111219M via NAICS 111219
USDA_ERS_FIWS,Pumpkins,BEA_2017_Code,111200,,111219N via NAICS 111219
USDA_ERS_FIWS,Onions,BEA_2017_Code,111200,,111219P via NAICS 111219
USDA_ERS_FIWS,"Peas, green",BEA_2017_Code,111200,,111219Q via NAICS 111219
USDA_ERS_FIWS,"Peppers, chile",BEA_2017_Code,111200,,111219R via NAICS 111219
USDA_ERS_FIWS,Spinach,BEA_2017_Code,111200,,111219T via NAICS 111219
USDA_ERS_FIWS,Squash,BEA_2017_Code,111200,,111219U via NAICS 111219
USDA_ERS_FIWS,Taro,BEA_2017_Code,111200,,111219V via NAICS 111219
USDA_ERS_FIWS,Tomatoes,BEA_2017_Code,111200,,111219W via NAICS 111219
USDA_ERS_FIWS,Cantaloups,BEA_2017_Code,111200,,111219X via NAICS 111219
USDA_ERS_FIWS,Honeydews,BEA_2017_Code,111200,,111219Y via NAICS 111219
USDA_ERS_FIWS,Watermelons,BEA_2017_Code,111200,,111219Z via NAICS 111219
USDA_ERS_FIWS,Fruits/Nuts,BEA_2017_Code,111300,,1113 via NAICS 1113
USDA_ERS_FIWS,"Greenhouse/Nursery, Floriculture",BEA_2017_Code,111400,,1114 via NAICS 1114
USDA_ERS_FIWS,Tobacco,BEA_2017_Code,111900,,11191 via NAICS 11191
USDA_ERS_FIWS,Cotton,BEA_2017_Code,111900,,11192 via NAICS 11192
USDA_ERS_FIWS,Cane for sugar,BEA_2017_Code,111900,,11193 via NAICS 11193
USDA_ERS_FIWS,Hay,BEA_2017_Code,111900,,11194 via NAICS 11194
USDA_ERS_FIWS,Sugar beets,BEA_2017_Code,111900,,111991 via NAICS 111991
USDA_ERS_FIWS,Peanuts,BEA_2017_Code,111900,,111992 via NAICS 111992
USDA_ERS_FIWS,Maple products,BEA_2017_Code,111900,,111998B via NAICS 111998
USDA_ERS_FIWS,Hops,BEA_2017_Code,111900,,111998E via NAICS 111998
USDA_ERS_FIWS,Mint,BEA_2017_Code,111900,,111998G via NAICS 111998
USDA_ERS_FIWS,"All other crops, Miscellaneous crops",BEA_2017_Code,111900,,111998I via NAICS 111998
USDA_ERS_FIWS,Mushrooms,BEA_2017_Code,111900,,111998J via NAICS 111998
USDA_ERS_FIWS,Animals and products,BEA_2017_Code,112120,,112 via NAICS 112
USDA_ERS_FIWS,Animals and products,BEA_2017_Code,1121A0,,112 via NAICS 112
USDA_ERS_FIWS,Animals and products,BEA_2017_Code,112300,,112 via NAICS 112
USDA_ERS_FIWS,Animals and products,BEA_2017_Code,112A00,,112 via NAICS 112
USDA_ERS_FIWS,Cattle and calves,BEA_2017_Code,1121A0,,11211 via NAICS 11211
USDA_ERS_FIWS,Dairy products,BEA_2017_Code,112120,,11212 via NAICS 11212
USDA_ERS_FIWS,Hogs,BEA_2017_Code,112A00,,1122 via NAICS 1122
USDA_ERS_FIWS,Poultry/Eggs,BEA_2017_Code,112300,,1123 via NAICS 1123
USDA_ERS_FIWS,Mohair,BEA_2017_Code,112A00,,11242 via NAICS 11242
USDA_ERS_FIWS,Aquaculture,BEA_2017_Code,112A00,,1125 via NAICS 1125
USDA_ERS_FIWS,Honey,BEA_2017_Code,112A00,,112910A via NAICS 112910
USDA_ERS_FIWS,"Animals and products, Other animals and products",BEA_2017_Code,112A00,,112990E via NAICS 112990
USDA_ERS_FIWS,Wool,BEA_2017_Code,112A00,,112990F via NAICS 112990
USDA_ERS_FIWS,Forest products,BEA_2017_Code,115000,,11531 via NAICS 11531
