code_2022,code_2017,level_2022,level_2017,split,description_2022,description_2017
1000025000,1000025000,B,B,False,Extraction of natural gas (volumes adjusted to pressure base of 14.73 lb absolute at 60 degrees F),Extraction of natural gas (volumes adjusted to pressure base of 14.73 lb absolute at 60 degrees F)
1000050000,1000050000,B,B,False,Extraction of residue gas (volumes adjusted to a pressure base of 14.73 lb absolute at 60 degrees F) from natural gas liquids,Extraction of residue gas (volumes adjusted to a pressure base of 14.73 lb absolute at 60 degrees F) from natural gas liquids
1000075000,1000075000,B,B,False,"Mining of run-of-mine (raw) lignite, for use without processing","Mining of run-of-mine (raw) lignite, for use without processing"
1000100000,1000100000,B,B,False,"Mining of run-of-mine (raw) lignite, for processing at other establishments","Mining of run-of-mine (raw) lignite, for processing at other establishments"
1000125000,1000125000,B,B,False,"Mining of processed lignite, washed by wet-washing, pneumatic, or other methods","Mining of processed lignite, washed by wet-washing, pneumatic, or other methods"
1000150000,1000150000,B,B,False,"Mining of processed lignite (mechanically crushed, screened, or sized only)","Mining of processed lignite (mechanically crushed, screened, or sized only)"
1000175000,1000175000,B,B,False,"Mining of run-of-mine (raw) bituminous coal, for use without processing","Mining of run-of-mine (raw) bituminous coal, for use without processing"
1000200000,1000200000,B,B,False,"Mining of run-of-mine (raw) bituminous coal, for processing at other establishments","Mining of run-of-mine (raw) bituminous coal, for processing at other establishments"
1000225000,1000225000,B,B,False,"Mining of processed bituminous coal, washed by wet-washing, pneumatic, or other methods","Mining of processed bituminous coal, washed by wet-washing, pneumatic, or other methods"
1000250000,1000250000,B,B,False,"Mining of processed bituminous coal (mechanically crushed, screened, or sized only)","Mining of processed bituminous coal (mechanically crushed, screened, or sized only)"
1000275000,1000275000,B,B,False,Mining of run-of-mine (raw) anthracite for use without processing or for further processing,Mining of run-of-mine (raw) anthracite for use without processing or for further processing
1000300000,1000300000,B,B,False,"Mining of processed anthracite, washed by wet-washing, pneumatic, or other methods","Mining of processed anthracite, washed by wet-washing, pneumatic, or other methods"
1000325000,1000325000,B,B,False,"Mining of processed anthracite, mechanically crushed, screened, or sized only","Mining of processed anthracite, mechanically crushed, screened, or sized only"
1000350000,1000350000,B,B,False,"Extraction of crude petroleum, including lease condensate (volumes corrected to 60 degrees F)","Extraction of crude petroleum, including lease condensate (volumes corrected to 60 degrees F)"
1000375000,1000375000,B,B,False,Mining of potassium salts and boron compounds,Mining of potassium salts and boron compounds
1000400000,1000400000,B,B,False,"Mining of sodium carbonate and sulfate, natural","Mining of sodium carbonate and sulfate, natural"
1000425000,1000425000,B,B,False,Extraction of isopentane and natural gasoline,Extraction of isopentane and natural gasoline
1000450000,1000450000,B,B,False,Extraction of propane (C3) (at least 80 percent purity),Extraction of propane (C3) (at least 80 percent purity)
1000475000,1000475000,B,B,False,Extraction of butane (C4) (at least 80 percent purity),Extraction of butane (C4) (at least 80 percent purity)
1000500000,1000500000,B,B,False,Extraction of plant condensate from natural gas liquids plants,Extraction of plant condensate from natural gas liquids plants
1000525000,1000525000,B,B,False,Extraction of ethane (C2) (at least 80 percent purity),Extraction of ethane (C2) (at  least 80 percent purity)
1000550000,1000550000,B,B,False,"Extraction of gas mixtures (C2, C3, and C4) from natural gas liquids plants","Extraction of gas mixtures (C2, C3, and C4) from natural gas liquids plants"
