napcs_code,bea_2017_commodity,weight,resolution,napcs_description
1000025000,211000,1.0,NAICS_2012_Code,Extraction of natural gas (volumes adjusted to pressure base of 14.73 lb absolute at 60 degrees F)
1000050000,211000,1.0,NAICS_2012_Code,Extraction of residue gas (volumes adjusted to a pressure base of 14.73 lb absolute at 60 degrees F) from natural gas liquids
1000075000,212100,1.0,NAICS_2012_Code,"Mining of run-of-mine (raw) lignite, for use without processing"
1000100000,212100,1.0,NAICS_2012_Code,"Mining of run-of-mine (raw) lignite, for processing at other establishments"
1000125000,212100,1.0,NAICS_2012_Code,"Mining of processed lignite, washed by wet-washing, pneumatic, or other methods"
1000150000,212100,1.0,NAICS_2012_Code,"Mining of processed lignite (mechanically crushed, screened, or sized only)"
1000175000,212100,1.0,NAICS_2012_Code,"Mining of run-of-mine (raw) bituminous coal, for use without processing "
1000200000,212100,1.0,NAICS_2012_Code,"Mining of run-of-mine (raw) bituminous coal, for processing at other establishments"
1000225000,212100,1.0,NAICS_2012_Code,"Mining of processed bituminous coal, washed by wet-washing, pneumatic, or other methods"
1000250000,212100,1.0,NAICS_2012_Code,"Mining of processed bituminous coal (mechanically crushed, screened, or sized only)"
1000275000,212100,1.0,NAICS_2012_Code,Mining of run-of-mine (raw) anthracite for use without processing or for further processing 
1000300000,212100,1.0,NAICS_2012_Code,"Mining of processed anthracite, washed by wet-washing, pneumatic, or other methods"
1000325000,212100,1.0,NAICS_2012_Code,"Mining of processed anthracite, mechanically crushed, screened, or sized only"
1000350000,211000,1.0,NAICS_2012_Code,"Extraction of crude petroleum, including lease condensate (volumes corrected to 60 degrees F)"
1000375000,2123A0,1.0,NAICS_2012_Code,Mining of potassium salts and boron compounds
1000400000,2123A0,1.0,NAICS_2012_Code,"Mining of sodium carbonate and sulfate, natural"
1000425000,211000,1.0,NAICS_2012_Code,Extraction of isopentane and natural gasoline
1000450000,211000,1.0,NAICS_2012_Code,Extraction of propane (C3) (at least 80 percent purity)
1000475000,211000,1.0,NAICS_2012_Code,Extraction of butane (C4) (at least 80 percent purity)
1000500000,211000,1.0,NAICS_2012_Code,Extraction of plant condensate from natural gas liquids plants
1000525000,211000,1.0,NAICS_2012_Code,Extraction of ethane (C2) (at  least 80 percent purity)
1000550000,211000,1.0,NAICS_2012_Code,"Extraction of gas mixtures (C2, C3, and C4) from natural gas liquids plants"
1000575000,211000,1.0,NAICS_2012_Code,"Extraction of other natural gas liquids, including raw or unfractionated natural gas liquid streams with less than 80 percent purity"
1000600000,2123A0,1.0,NAICS_2012_Code,Quarrying of industrial glass sand (unground and ground) for melting only
1000625000,2123A0,1.0,NAICS_2012_Code,Quarrying of industrial molding sand (unground and ground) 
1000650000,2123A0,1.0,NAICS_2012_Code,"Quarrying of other industrial sand (unground and ground), including grinding, blast, furnace, engine, filtration, oil, etc"
1000675000,2123A0,1.0,NAICS_2012_Code,"Mining of kaolin, including mined and/or basic preparation for transport"
1000700000,2123A0,1.0,NAICS_2012_Code,"Mining of ball clay, including mined and/or basic preparation for transport"
1000725000,2123A0,1.0,NAICS_2012_Code,"Mining of bentonite, including mined and/or basic preparation for transport)"
1000750000,2123A0,1.0,NAICS_2012_Code,"Mining of fire clay, including mined and/or basic preparation for transport"
1000775000,2123A0,1.0,NAICS_2012_Code,"Mining of fuller's earth, including mined and/or basic preparation for transport"
1000800000,2123A0,1.0,NAICS_2012_Code,"Mining of feldspar, including mined and/or basic preparation for transport"
1000825000,2123A0,1.0,NAICS_2012_Code,"Mining of common (miscellaneous) clay and shale, including mined and/or basic preparation for transport"
1000850000,2123A0,1.0,NAICS_2012_Code,"Mining of other clay, ceramic, and refractory minerals, including magnesite and brucite, mined and/or basic preparation for transport"
1000875000,2123A0,1.0,NAICS_2012_Code,"Mining of crude and prepared phosphate rock, including crude ore or matrix, washed, concentrated, dried, calcined, sintered or nodulized"
1000900000,2123A0,1.0,NAICS_2012_Code,Mining of rock salt
1000925000,2123A0,1.0,NAICS_2012_Code,Mining and/or benefication of diatomite
1000950000,2123A0,1.0,NAICS_2012_Code,Mining and/or benefication of gypsum
1000975000,2123A0,1.0,NAICS_2012_Code,"Mining and/or benefication of talc, soapstone, and pyrophyllite"
1001000000,2123A0,1.0,NAICS_2012_Code,Mining and/or benefication of mica
1001025000,2123A0,1.0,NAICS_2012_Code,Mining and/or benefication of pumice and pumicite
1001050000,2123A0,1.0,NAICS_2012_Code,Mining  and/or benefication  of perlite
1001075000,2123A0,1.0,NAICS_2012_Code,"Mining and/or benefication of all other nonmetallic minerals, including natural abrasives, shell and native asphalt and bitumens"
1001100000,211000,1.0,NAICS_2012_Code,Recovered elemental sulfur from natural gas
1001125000,2123A0,1.0,NAICS_2012_Code,"Mining of other chemical and fertilizer materials (ores, fines, and concentrates, including fluorspar, pyrites, spodumene, mineral pigments, native sulfur, etc.)"
1001150000,2123A0,1.0,NAICS_2012_Code,Mining of barite
1001175000,2122A0,1.0,NAICS_2012_Code,"Mining of iron ore, including crude, concentrates, agglomerates and pellets"
1001200000,2122A0,1.0,NAICS_2012_Code,Mining of gold ore
1001225000,2122A0,1.0,NAICS_2012_Code,Mining of silver ore
1001250000,212230,1.0,NAICS_2012_Code,Mining of lead ore and zinc ore
1001275000,212230,1.0,NAICS_2012_Code,Mining of copper ore and nickel ore
1001300000,2122A0,1.0,NAICS_2012_Code,"Mining of crude uranium ores and concentrates, including radium and vanadium"
1001325000,2122A0,1.0,NAICS_2012_Code,"Mining of crude ferroalloy ores and concentrates, including manganese and manganiferous ores, chromium, molybdenum, tungsten, etc."
1001350000,2122A0,1.0,NAICS_2012_Code,"Mining of miscellaneous metal ores and concentrates, including antimony, bauxite, beryllium, mercury, rare-earth metals, tin, and titanium"
1001375000,2123A0,1.0,NAICS_2012_Code,Mining and/or benefication of peat
1001400000,212310,1.0,NAICS_2012_Code,Quarrying of rough dimension limestone
1001425000,212310,1.0,NAICS_2012_Code,Quarrying of rough dimension granite
1001450000,212310,1.0,NAICS_2012_Code,"Quarrying of other rough dimension stone, including slate, marble, trap rock, sandstone, quartz, and miscellaneous stone"
1001475000,2123A0,1.0,NAICS_2012_Code,"Quarrying of construction sand and gravel (run of pit or bank, washed, screened, or otherwise treated)"
1001500000,212310,1.0,NAICS_2012_Code,"Quarrying of crushed and broken limestone, including dolomite, cement rock, marl, travertine, and calcareous tufa"
1001525000,212310,1.0,NAICS_2012_Code,"Quarrying of crushed and broken granite, including gneiss, syenite, and diorite"
1001550000,212310,1.0,NAICS_2012_Code,Quarrying of bituminous limestone and bituminous sandstone
1001575000,212310,1.0,NAICS_2012_Code,"Quarrying of other crushed and broken stone, including slate, marble, trap rock, quartz, and miscellaneous types of stone"
1001600000,213111,1.0,NAICS_2012_Code,Oil and gas well directional drilling control
1001625000,213111,1.0,NAICS_2012_Code,"Drilling oil and gas wells, including drilling in, spudding in, or tailing in"
1001650000,213111,1.0,NAICS_2012_Code,Reworking oil and gas wells
1001675000,21311A,1.0,NAICS_2012_Code,"Oil and gas field exploration services, excluding mapping and surveying services"
1001700000,21311A,1.0,NAICS_2012_Code,Cementing oil and gas wells
1001725000,21311A,1.0,NAICS_2012_Code,Oil and gas well logging
1001750000,21311A,1.0,NAICS_2012_Code,Hydraulic fracturing of oil and gas wells
1001775000,21311A,1.0,NAICS_2012_Code,"Running, cutting, and pulling casings, tubes, or rods for oil and gas wells"
1001800000,21311A,1.0,NAICS_2012_Code,Oil and gas field gathering services
1001825000,21311A,1.0,NAICS_2012_Code,Perforating oil and gas well casings
