product,description,census_2017_pxi_product_code,naics_2017,match_source
aircraft and aeronautical equipment,Aircraft and aeronautical equipment,,336411,govai
"aircraft equipment and supplies, including engines and engine parts","Aircraft equipment and supplies, including engines and engine parts",,336412,govai
alcoholic beverages,Alcoholic beverages,,312140,govai
alloy steel,Alloy steel,,331221,govai
"antiques, collectibles, art works, and other used goods (except transportation and machinery goods)","Antiques, collectibles, art works, and other used goods (except transportation and machinery goods)",,453310,govai
art supplies,Art supplies,,339940,govai
"artificial flowers, plants, and trees","Artificial flowers, plants, and trees",,453998,govai
audio and video recordings,Audio and video recordings,,334614,govai
"audio and video recordings, including purchased downloads","Audio and video recordings, including purchased downloads",,512220,govai
automobiles and light-duty trucks,Automobiles and light-duty trucks,,336111,govai
"automotive chemicals, including polishes and cleaners, fuel and oil additives, and antifreeze","Automotive chemicals, including polishes and cleaners, fuel and oil additives, and antifreeze",,325998,govai
automotive fuels,Automotive fuels,,324110,govai
automotive parts and supplies,Automotive parts and supplies,,336390,govai
baked goods,Baked goods,,311812,govai
"balloons, clothes hangers, foam mats, lawn ornaments, and jewelry boxes","Balloons, clothes hangers, foam mats, lawn ornaments, and jewelry boxes",,326199,govai
"bath, facial, and hand soaps","Bath, facial, and hand soaps",,325611,govai
"batteries, except automotive","Batteries, except automotive",,335999,govai
"bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","Bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories",,336991,govai
"blank cds, dvds, and other recordable media","Blank CDs, DVDs, and other recordable media",,334614,govai
boats and go-carts,Boats and go-carts,,336612,govai
boats and other sports vehicles,Boats and other sports vehicles,,336612,govai
"bolts, nuts, rivets, and other fasteners, except nails","Bolts, nuts, rivets, and other fasteners, except nails",,332722,govai
books,Books,,323117,govai
brewers' products,Brewers' products,,312120,govai
building and construction polystyrene and polyurethane foam products,Building and construction polystyrene and polyurethane foam products,,326140,govai
"candy, prepackaged cookies, and snack foods","Candy, prepackaged cookies, and snack foods",,311340,govai
canvas awnings,Canvas awnings,,314912,govai
caskets and other funeral goods,Caskets and other funeral goods,,339995,govai
"caskets, monuments, grave markers, and other funeral goods","Caskets, monuments, grave markers, and other funeral goods",,339995,govai
"chemicals, except explosives and automotive, drillers, and sanitation chemicals","Chemicals, except explosives and automotive, drillers, and sanitation chemicals",,325199,govai
"children's wear, including boys', girls', and infants' and toddlers' clothing and accessories","Children's wear, including boys', girls', and infants' and toddlers' clothing and accessories",,315240,govai
cleaning chemicals,Cleaning chemicals,,325612,govai
"clocks, trophies, and works of art","Clocks, trophies, and works of art",,453920,govai
coal,Coal,,212112,govai
commercial and service industry equipment,Commercial and service industry equipment,,333318,govai
commercial furniture,Commercial furniture,,337214,govai
commercial photography and motion picture equipment,Commercial photography and motion picture equipment,,333316,govai
communications equipment,Communications equipment,,334220,govai
computer software,Computer software,,511210,govai
computer software,Computer software,,511210,govai
"computers and peripheral equipment, communications equipment, and related products","Computers and peripheral equipment, communications equipment, and related products",,334111,govai
"computers and peripheral equipment, except computer components","Computers and peripheral equipment, except computer components",,334118,govai
"concrete, cement, sand, gravel, stone, brick, block, and tile","Concrete, cement, sand, gravel, stone, brick, block, and tile",,327310,govai
condensing units for commercial refrigerators,Condensing units for commercial refrigerators,,333415,govai
"construction, forestry, and mining machinery and equipment, including attachments","Construction, forestry, and mining machinery and equipment, including attachments",,333120,govai
"construction, forestry, and mining machinery parts and supplies","Construction, forestry, and mining machinery parts and supplies",,333120,govai
copper plumbing pipes and tubing,Copper plumbing pipes and tubing,,331420,govai
cosmetics and fragrances,Cosmetics and fragrances,,325620,govai
"cosmetics, beauty supplies, perfumes and colognes, including hair preparations and hair brushes","Cosmetics, beauty supplies, perfumes and colognes, including hair preparations and hair brushes",,446120,govai
costume and novelty jewelry,Costume and novelty jewelry,,339910,govai
"costumes, vestments, and unisex clothing","Costumes, vestments, and unisex clothing",,315280,govai
crude oil,Crude oil,,211120,govai
"cutlery, except disposable plastics","Cutlery, except disposable plastics",,339910,govai
disposable paper and plastic products,Disposable paper and plastic products,,326113,govai
domestics and other textile home furnishings (except carpet and rugs),Domestics and other textile home furnishings (except carpet and rugs),,314120,govai
eggs and dairy (except ice cream),Eggs and dairy (except ice cream),,311511,govai
electric light bulbs,Electric light bulbs,,335110,govai
"electrical, communication, and lighting system products","Electrical, communication, and lighting system products",,335121,govai
"electricity generation, control, and storage equipment","Electricity generation, control, and storage equipment",,335999,govai
"fabrics, yarns, and other sewing materials and supplies","Fabrics, yarns, and other sewing materials and supplies",,313210,govai
farm and agricultural supplies,Farm and agricultural supplies,,325314,govai
farm machinery and equipment,Farm machinery and equipment,,333111,govai
farm machinery parts and supplies,Farm machinery parts and supplies,,333111,govai
"farm supplies, including agricultural chemicals, feed, and fertilizers","Farm supplies, including agricultural chemicals, feed, and fertilizers",,325312,govai
fine jewelry and watches,Fine jewelry and watches,,339910,govai
fire extinguishers and fire safety equipment,Fire extinguishers and fire safety equipment,,339994,govai
flat iron and steel products,Flat iron and steel products,,331221,govai
flooring and floor coverings,Flooring and floor coverings,,321918,govai
flooring and floor coverings,Flooring and floor coverings,,326192,govai
food dry goods and other foods purchased for future consumption,Food dry goods and other foods purchased for future consumption,,311423,govai
fresh fish and seafood,Fresh fish and seafood,,311710,govai
"fresh flowers, florists' supplies, live trees, plants, and nursery stock","Fresh flowers, florists' supplies, live trees, plants, and nursery stock",,424930,govai
fresh fruit and vegetables,Fresh fruit and vegetables,,311421,govai
fresh meat and poultry,Fresh meat and poultry,,311611,govai
frozen foods,Frozen foods,,311412,govai
gift wrap,Gift wrap,,322230,govai
glasses and contact lenses,Glasses and contact lenses,,339115,govai
golf equipment,Golf equipment,,339920,govai
"grains, beans, and seeds","Grains, beans, and seeds",,311119,govai
"hand tools, power driven","Hand tools, power driven",,333991,govai
"hardware, nonpower hand tools, and other building materials and supplies","Hardware, nonpower hand tools, and other building materials and supplies",,332510,govai
harness and saddlery equipment,Harness and saddlery equipment,,316992,govai
health aids and first aid supplies,Health aids and first aid supplies,,339113,govai
heating and hvac equipment,Heating and HVAC equipment,,333415,govai
"heavy trucks, trailers, and road tractors, more than 33,000 lb","Heavy trucks, trailers, and road tractors, more than 33,000 lb.",,336120,govai
"hides, skins, and pelts","Hides, skins, and pelts",,311119,govai
home health care equipment and supplies,Home health care equipment and supplies,,339113,govai
"home lawn and garden equipment, tools, and supplies","Home lawn and garden equipment, tools, and supplies",,444210,govai
home lawn and garden goods,Home lawn and garden goods,,444210,govai
"household and personal goods, not elsewhere classified","Household and personal goods, not elsewhere classified",,339990,govai
"household appliances, including personal care appliances","Household appliances, including personal care appliances",,443141,govai
household cleaning supplies,Household cleaning supplies,,325611,govai
"household fuels, including oil, lp gas, wood, coal","Household fuels, including oil, LP gas, wood, coal",,324199,govai
"household furnishings, except artificial flowers, plants, and trees","Household furnishings, except artificial flowers, plants, and trees",,442299,govai
"household paper and plastic products, not elsewhere classified","Household paper and plastic products, not elsewhere classified",,322220,govai
"household pets, pet foods, and pet supplies","Household pets, pet foods, and pet supplies",,453910,govai
"hunting, fishing, hiking, and camping equipment","Hunting, fishing, hiking, and camping equipment",,339920,govai
