flag,flag_reason,product,naics_2017,naics_name,match_source,description,census_2017_pxi_product_code
seller,"maps a good to the industry that sells it, not the one that makes it",used automotive parts and accessories,423140,Motor Vehicle Parts (Used) Merchant Wholesalers,govai,Used automotive parts and accessories,
seller,"maps a good to the industry that sells it, not the one that makes it",used industrial machinery and equipment,423830,Industrial Machinery and Equipment Merchant Wholesalers,govai,Used industrial machinery and equipment,
seller,"maps a good to the industry that sells it, not the one that makes it","newspapers, periodicals, books and other publications, except greeting cards",424920,"Book, Periodical, and Newspaper Merchant Wholesalers",govai,"Newspapers, periodicals, books and other publications, except greeting cards",
seller,"maps a good to the industry that sells it, not the one that makes it","fresh flowers, florists' supplies, live trees, plants, and nursery stock",424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",govai,"Fresh flowers, florists' supplies, live trees, plants, and nursery stock",
seller,"maps a good to the industry that sells it, not the one that makes it",new and used automobiles,441110,New Car Dealers,govai,New and used automobiles,
seller,"maps a good to the industry that sells it, not the one that makes it","motor homes, travel trailers, and campers",441210,Recreational Vehicle Dealers,govai,"Motor homes, travel trailers, and campers",
seller,"maps a good to the industry that sells it, not the one that makes it","household furnishings, except artificial flowers, plants, and trees",442299,All Other Home Furnishings Stores,govai,"Household furnishings, except artificial flowers, plants, and trees",
seller,"maps a good to the industry that sells it, not the one that makes it","tableware, kitchenware, cookware, and glassware, except cutlery and novelty glassware",442299,All Other Home Furnishings Stores,govai,"Tableware, kitchenware, cookware, and glassware, except cutlery and novelty glassware",
seller,"maps a good to the industry that sells it, not the one that makes it","household appliances, including personal care appliances",443141,Household Appliance Stores,govai,"Household appliances, including personal care appliances",
seller,"maps a good to the industry that sells it, not the one that makes it","home lawn and garden equipment, tools, and supplies",444210,Outdoor Power Equipment Stores,govai,"Home lawn and garden equipment, tools, and supplies",
seller,"maps a good to the industry that sells it, not the one that makes it",home lawn and garden goods,444210,Outdoor Power Equipment Stores,govai,Home lawn and garden goods,
seller,"maps a good to the industry that sells it, not the one that makes it","cosmetics, beauty supplies, perfumes and colognes, including hair preparations and hair brushes",446120,"Cosmetics, Beauty Supplies, and Perfume Stores",govai,"Cosmetics, beauty supplies, perfumes and colognes, including hair preparations and hair brushes",
seller,"maps a good to the industry that sells it, not the one that makes it","antiques, collectibles, art works, and other used goods (except transportation and machinery goods)",453310,Used Merchandise Stores,govai,"Antiques, collectibles, art works, and other used goods (except transportation and machinery goods)",
seller,"maps a good to the industry that sells it, not the one that makes it","household pets, pet foods, and pet supplies",453910,Pet and Pet Supplies Stores,govai,"Household pets, pet foods, and pet supplies",
seller,"maps a good to the industry that sells it, not the one that makes it","clocks, trophies, and works of art",453920,Art Dealers,govai,"Clocks, trophies, and works of art",
seller,"maps a good to the industry that sells it, not the one that makes it","artificial flowers, plants, and trees",453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),govai,"Artificial flowers, plants, and trees",
seller,"maps a good to the industry that sells it, not the one that makes it",swimming pools and swimming pool supplies,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),govai,Swimming pools and swimming pool supplies,
bad_code,not in the Census 2017 NAICS reference list,canvas awnings,314912,,govai,Canvas awnings,
bad_code,not in the Census 2017 NAICS reference list,"rough, dressed, and finished dimensional lumber, plywood and panels",321210,,govai,"Rough, dressed, and finished dimensional lumber, plywood and panels",
bad_code,not in the Census 2017 NAICS reference list,flooring and floor coverings,326192,,govai,Flooring and floor coverings,
bad_code,not in the Census 2017 NAICS reference list,"nonferrous metals, including magnesium, nickel, tin, lead, and zinc, except gemstones",331419,,govai,"Nonferrous metals, including magnesium, nickel, tin, lead, and zinc, except gemstones",
bad_code,not in the Census 2017 NAICS reference list,"metal castings, forgings, and stampings",332100,,govai,"Metal castings, forgings, and stampings",
bad_code,not in the Census 2017 NAICS reference list,new textile and sewing machinery and equipment,333292,,govai,New textile and sewing machinery and equipment,
bad_code,not in the Census 2017 NAICS reference list,"office equipment, except computers",333313,,govai,"Office equipment, except computers",
bad_code,not in the Census 2017 NAICS reference list,other transportation equipment,336399,,govai,Other transportation equipment,
bad_code,not in the Census 2017 NAICS reference list,"household and personal goods, not elsewhere classified",339990,,govai,"Household and personal goods, not elsewhere classified",
bad_code,not in the Census 2017 NAICS reference list,"audio and video recordings, including purchased downloads",512220,,govai,"Audio and video recordings, including purchased downloads",
concept,"farm output -> 1111 oilseed and grain farming, not animal food mfg","grains, beans, and seeds",311119,Other Animal Food Manufacturing,govai,"Grains, beans, and seeds",
concept,"slaughter byproduct -> 311611 / 316110, not animal food mfg","hides, skins, and pelts",311119,Other Animal Food Manufacturing,govai,"Hides, skins, and pelts",
concept,"""fresh"" excludes canning; -> 1112/1113 farming",fresh fruit and vegetables,311421,Fruit and Vegetable Canning,govai,Fresh fruit and vegetables,
concept,eggs are 1123; only the dairy half fits 311511,eggs and dairy (except ice cream),311511,Fluid Milk Manufacturing,govai,Eggs and dairy (except ice cream),
concept,"live animals -> 1121/1122/1124, not fluid milk mfg",livestock,311511,Fluid Milk Manufacturing,govai,Livestock,
concept,"""except canned and frozen"" excludes packaging; -> 1141/1125","fish and seafood, except canned and frozen fish and seafood",3117,Seafood Product Preparation and Packaging,manual,"Wholesale sales of fish and seafood, except canned and frozen fish and seafood",4000150001
concept,"""fresh"" excludes packaging; -> 1141 fishing / 1125 aquaculture",fresh fish and seafood,311710,Seafood Product Preparation and Packaging,govai,Fresh fish and seafood,
concept,"distilled liquor is 312140, not wineries","wine and distilled liquor, including premixed alcoholic drinks",31213,Wineries,manual,"Wholesale sales of wine and distilled liquor, including premixed alcoholic drinks",4000400000
concept,spans beer 312120 and wine 312130 as well as distilleries,alcoholic beverages,312140,Distilleries,govai,Alcoholic beverages,
concept,"inputs to tobacco mfg (leaf, 111910), not tobacco products",materials and supplies for tobacco manufacturing,312230,Tobacco Manufacturing,govai,Materials and supplies for tobacco manufacturing,
concept,scrap -> BEA S00401; finishing mills are unrelated,"recyclable textiles, including rags and textile scraps",313310,Textile and Fabric Finishing Mills,govai,"Recyclable textiles, including rags and textile scraps",
concept,-> 316990/316999; 316992 is handbags and purses,harness and saddlery equipment,316992,Women's Handbag and Purse Manufacturing,govai,Harness and saddlery equipment,
concept,"standing/roundwood -> 1133 logging, not sawmills",pulpwood,321113,Sawmills,govai,Pulpwood,
concept,-> 1133 logging rather than wood preservation,"nonlumber forest products, including hewn posts, poles, and railroad ties",321114,Wood Preservation,govai,"Nonlumber forest products, including hewn posts, poles, and railroad ties",
