product,bea,weight,industry
"Meals, snacks, other food items, and nonalcoholic beverages, prepared and served or dispensed, for immediate consumption",722211,0.4594,
"Meals, snacks, other food items, and nonalcoholic beverages, prepared and served or dispensed, for immediate consumption",722110,0.4491,
"Meals, snacks, other food items, and nonalcoholic beverages, prepared and served or dispensed, for immediate consumption",722A00,0.0914,
Customization and integration of packaged software,541511,0.5271,
Customization and integration of packaged software,541512,0.4642,
Customization and integration of packaged software,54151A,0.0087,
IT technical support services,54151A,1.0,
"Meals, snacks, other food items, and beverages prepared for catered events",722A00,0.6227,
"Meals, snacks, other food items, and beverages prepared for catered events",722110,0.2196,
"Meals, snacks, other food items, and beverages prepared for catered events",722211,0.1577,
Trading securities and commodity contracts on own account,523A00,1.0,
Maintenance and repair services for computer hardware and peripheral equipment,811200,1.0,
"Network design and development services, except security",541512,1.0,
Other products supporting financial services,52A000,1.0,
"Maintenance and repair services for recreational, sports, and fitness equipment (including boats, motorcycles, other sports vehicles, and musical instruments)",811400,1.0,
Document payment services (except traveler's check services),522A00,1.0,
"Licensing of rights to exhibit, broadcast, or rent audiovisual works protected by copyright",515100,1.0,515200
