commodity,industry,million_usd,moved
1111A0,1111A0,37922.0,False
115000,1111A0,179.0,False
713900,1111A0,116.0,False
1111B0,1111B0,66790.0,False
115000,1111B0,377.0,False
713900,1111B0,245.0,False
111200,111200,18582.0,False
115000,111200,136.0,False
713900,111200,88.0,False
111300,111300,29731.0,False
115000,111300,138.0,False
713900,111300,89.0,False
111400,111400,19644.0,False
115000,111400,136.0,False
713900,111400,88.0,False
111900,111900,25460.0,False
113000,111900,1513.0,False
114000,111900,1.0,False
115000,111900,105.0,False
3219A0,111900,15.0,False
713900,111900,66.0,False
112120,112120,38106.0,False
115000,112120,262.0,False
713900,112120,170.0,False
1121A0,1121A0,87445.0,False
115000,1121A0,368.0,False
713900,1121A0,239.0,False
112300,112300,44165.0,False
115000,112300,245.0,False
713900,112300,159.0,False
112A00,112A00,32707.0,False
113000,112A00,111.0,False
115000,112A00,150.0,False
713900,112A00,97.0,False
111400,113000,28.0,False
113000,113000,18223.0,False
2332D0,113000,515.0,False
114000,114000,8480.0,False
115000,115000,25328.0,False
2332D0,115000,322.0,False
211000,211000,203939.0,False
2123A0,211000,53.0,False
213111,211000,4841.0,False
21311A,211000,8085.0,False
233240,211000,835.0,False
333130,211000,130.0,False
324110,211000,25354.0,False
325120,211000,123.0,False
325190,211000,41.0,False
325310,211000,7.0,False
424700,211000,1183.0,False
541511,211000,115.0,False
541700,211000,946.0,False
212100,212100,26775.0,False
21311A,212100,5639.0,False
233240,212100,3387.0,False
423A00,212100,13.0,False
541511,212100,1.0,False
541700,212100,8.0,False
212230,212230,11430.0,False
2122A0,212230,1203.0,False
233240,212230,698.0,False
541700,212230,24.0,False
2122A0,2122A0,14112.0,False
21311A,2122A0,352.0,False
233240,2122A0,1116.0,False
423A00,2122A0,1.0,False
541700,2122A0,44.0,False
212310,212310,13947.0,False
2123A0,212310,137.0,False
21311A,212310,26.0,False
233240,212310,2158.0,False
327320,212310,31.0,False
327400,212310,39.0,False
327991,212310,23.0,False
324121,212310,71.0,False
423A00,212310,16.0,False
541700,212310,12.0,False
212310,2123A0,93.0,False
2123A0,2123A0,13448.0,False
21311A,2123A0,5.0,False
233240,2123A0,2335.0,False
327320,2123A0,25.0,False
327991,2123A0,1.0,False
327992,2123A0,70.0,False
324121,2123A0,24.0,False
325180,2123A0,2142.0,False
423A00,2123A0,46.0,False
541700,2123A0,16.0,False
211000,213111,14.0,False
213111,213111,22736.0,False
21311A,213111,2653.0,False
233240,213111,1439.0,False
332710,213111,2.0,False
424700,213111,36.0,False
541511,213111,7.0,False
541700,213111,75.0,False
211000,21311A,240.0,False
213111,21311A,1002.0,False
21311A,21311A,72930.0,False
